State,City,Location,Station code,Type,Numbers of  monitoring days (n),Minimum,Maximum,Nitrogen Dioxide(NO2)-  Annual average (µg/m3),10 percentile,50 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Maharasthtra,Latur,Terrace of Sidhheshwar Sahakari BankGanjgolai,643,RIRuO,61,9,35,16,10,15,22,5,0,Low
Maharasthtra,Lote,MIDC Chalkewadi,489,RIRuO,12,20,53,33,29,32,38,8,0,Null
Maharasthtra,Lote,"Pump House, CETP",490,RIRuO,18,9,61,27,13,27,41,14,0,Null
Maharasthtra,Mahad,"Water treatment plant, Bhirwadi",569,RIRuO,66,9,75,37,16,34,60,16,0,Moderate
Maharasthtra,Mahad,"EHS, M/s Privi organics Ltd",570,RIRuO,56,21,68,42,26,41,54,11,0,High
Maharasthtra,Mahad,"Mahatma Phule Hall, MNP",571,RIRuO,50,21,57,37,25,37,48,9,0,Moderate
Maharasthtra,Mumbai,Kalbadevi,169,RIRuO,84,5,74,17,5,10,34,15,0,Low
Maharasthtra,Mumbai,"Parel , Ambedkar Road",170,RIRuO,98,5,59,16,5,12,37,13,0,Low
Maharasthtra,Mumbai,Worli,349,RIRuO,103,5,268,23,5,14,40,31,3,Moderate
Maharasthtra,Nagpur,Institution of Engineers,287,RIRuO,86,25,85,38,27,35,55,12,2,Moderate
Maharasthtra,Nagpur,"Govt. Polytechnic College, Sadar",314,RIRuO,87,20,94,38,27,36,50,12,1,Moderate
Maharasthtra,Nagpur,MIDC Office Hingana Road,288,RIRuO,83,22,78,41,29,39,56,12,0,High
Maharasthtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna",165,RIRuO,81,5,98,28,10,22,57,19,1,Moderate
Maharasthtra,Nagpur,"Maskasath, Itwari",166,RIRuO,98,5,125,32,13,27,61,20,3,Moderate
Maharasthtra,Nagpur,"NEERI Lab, Nehru Marg",167,RIRuO,96,6,75,23,9,21,40,14,0,Moderate
Maharasthtra,Nashik,R.T.O. Colony Tank,259,RIRuO,112,16,39,25,19,23,32,5,0,Moderate
Maharasthtra,Nashik,"VIP Industrial Area, MIDC Satpura",269,RIRuO,113,18,70,27,21,26,33,6,0,Moderate
Maharasthtra,Nashik,Nashik Municipal Council Building,280,RIRuO,111,16,41,25,20,24,34,5,0,Moderate
Maharasthtra,Navi Mumbai,"T.B.I.A, Rabale , Airoli, TTC",491,RIRuO,102,16,73,41,23,41,56,13,0,High
Maharasthtra,Navi Mumbai,"Dr. D.Y. Patil College, Nerul, TTC",492,RIRuO,104,10,58,33,18,35,45,10,0,Moderate
Maharasthtra,Navi Mumbai,"MPCB Central Lab, Mhape",493,RIRuO,96,17,79,42,22,42,60,14,0,High
Maharasthtra,Navi Mumbai,CIDCO Nodal Office Kharghar,494,RIRuO,105,13,77,35,19,34,50,13,0,Moderate
Maharasthtra,Navi Mumbai,"Panvel Residential Area, Taloja",495,RIRuO,96,13,72,34,18,33,49,13,0,Moderate
Maharasthtra,Navi Mumbai,MIDC Collom Faciolity Building,496,RIRuO,99,19,93,49,30,48,68,15,4,High
Maharasthtra,Pune,"Maratha Chamber of commerce, Bhosari",312,RIRuO,104,12,93,37,19,34,56,16,2,Moderate
Maharasthtra,Pune,State Electricity Board BLDG Nalstop,379,RIRuO,105,12,114,39,20,36,59,17,2,Moderate
Maharasthtra,Pune,Swargate Police Chawki,381,RIRuO,104,10,116,42,19,40,72,21,8,High
Maharasthtra,Roha,Roha Industrial Association office,572,RIRuO,64,20,88,33,23,29,46,12,2,Moderate
Maharasthtra,Roha,Filter House of MIDC Water works,573,RIRuO,61,21,70,35,23,34,49,12,0,Moderate
Maharasthtra,Sangli,"Udyog bhavan / SRO, MPCB Sangli",574,RIRuO,105,16,43,25,19,24,30,5,0,Moderate
Maharasthtra,Sangli,Sangli- Miraj Primary school Building,575,RIRuO,104,14,49,28,20,27,37,7,0,Moderate
Maharasthtra,Sangli,Krishna Valley School,576,RIRuO,104,17,55,29,21,28,37,7,0,Moderate
Maharasthtra,Solapur,WIT Campus,299,RIRuO,106,30,49,35,33,35,38,3,0,Moderate
Maharasthtra,Solapur,Voronoko School / Chitale Clinic,300,RIRuO,107,30,42,35,32,35,38,2,0,Moderate
Maharasthtra,Thane,"Maternity Hospital,Dhobighat,Kopri",303,RIRuO,112,9,18,13,10,13,16,2,0,Low
Maharasthtra,Thane,"Terrace of Shahu Market,Naupada",304,RIRuO,108,11,22,16,13,16,21,3,0,Low
Maharasthtra,Thane,"Kolshet and Balkum, Thane West",305,RIRuO,36,11,18,14,12,14,17,2,0,Null
Maharasthtra,Ulhasnagar,Smt. C. H. M. College Campus,647,RIRuO,99,8,128,62,24,62,94,29,24,Critical
Maharasthtra,Ulhasnagar,Octroi Naka,648,RIRuO,94,8,197,73,26,68,116,37,38,Critical
Meghalaya,Byrnihat,"EPIP, Ri-Bhoi district",568,RIRuO,87,5,34,15,7,15,22,6,0,Low
Meghalaya,Dawki,"Terrace building, Jaintia Hills District",588,RIRuO,68,5,16,6,5,5,11,3,0,Low
Meghalaya,Tura,"Office building of Add Chief Engineer,Garo Hills District",608,RIRuO,34,5,14,9,6,9,11,2,0,Null
Meghalaya,Shillong,State Tuberculosis Hospital,340,ES (Hill station),79,5,29,15,8,14,23,6,0,Low
Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad",120,ES (Hill station),54,5,6,5,5,5,5,Null,0,Low
Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of MizoramSPCB",450,ES (Hill station),104,5,10,6,5,5,7,1,0,Low
Mizoram,Aizawl,"Laipuitlang, Residence of Chairman,MPCB",451,ES (Hill station),104,5,8,5,5,5,5,1,0,Low
Mizoram,Aizawl,"Bawngkawn , Roof Top of Mr.K.L. Ber-ema’s residence",452,ES (Hill station),104,5,11,6,5,6,8,1,0,Low
Nagaland,Dimapur,Bank Colony,317,RIRuO,93,5,16,7,5,7,11,3,0,Low
Nagaland,Dimapur,Dhobinala,448,RIRuO,93,5,14,7,5,7,11,3,0,Low
Nagaland,Kohima,Opposite NST Office,609,ES (Hill station),51,5,7,5,5,5,6,1,0,Low
Nagaland,Kohima,Opposite War Cemetery,610,ES (Hill station),42,5,7,5,5,5,6,1,0,Null
Orissa,Angul,Industrial Estate,70,RIRuO,110,16,25,22,21,23,24,2,0,Moderate
Orissa,Angul,NALCO Township,231,RIRuO,100,16,26,19,17,19,23,2,0,Low
Orissa,Balasore,Sahadevkhunta,428,RIRuO,100,10,15,12,10,12,13,1,0,Low
Orissa,Berhampur,Regional Office Orissa SPCB,429,RIRuO,95,7,18,13,10,13,16,2,0,Low
Orissa,Bhubneshwar,Capital Police Station,424,RIRuO,105,13,59,19,14,20,22,5,0,Low
Orissa,Bhubneshwar,IRC Village,423,RIRuO,98,10,23,17,14,18,20,3,0,Low
Orissa,Bhubneshwar,SPCB Building,322,RIRuO,113,10,23,18,13,19,22,3,0,Low
Orissa,Cuttack,"Roof of Traffic Tower, Badambadi",426,RIRuO,105,13,38,22,17,21,29,5,0,Moderate
Orissa,Cuttack,"R.O. Cuttack Office, Surya Vihar",425,RIRuO,45,14,38,19,15,16,32,7,0,Null
Orissa,Rayagada,Regional Office Orissa SPCB,428,RIRuO,103,11,25,20,14,21,23,3,0,Low
Orissa,Rayagada,"LPS High School, Jaykaypur",229,RIRuO,103,11,25,21,15,21,24,3,0,Moderate
Orissa,Rourkela,"Regional Office, ORPB",370,RIRuO,94,9,11,10,10,10,11,Null,0,Low
Orissa,Rourkela,"IDL Police Out-post, Sonaparbat",227,RIRuO,104,9,26,11,10,11,11,2,0,Low
Orissa,Sambalpur,"Filter Plant, PHD Office, Modipara",427,RIRuO,84,10,21,15,11,15,19,3,0,Low
Orissa,Talcher,Coal Field Area / MCL AREA,471,RIRuO,66,16,31,26,22,27,28,3,0,Moderate
Orissa,Talcher,T.T.P.S.Colony,68,RIRuO,103,12,28,20,18,20,22,3,0,Low
Punjab,Amritsar,"R.O. Focal Point, Amritsar",487,RIRuO,53,31,39,35,32,36,38,2,0,Moderate
Punjab,Amritsar,"A-1,Platers, Amritsar / VMC",486,RIRuO,57,32,40,36,33,36,38,2,0,Moderate
Punjab,Bhatinda,"Ms Milk Plant, Ropar",506,RIRuO,96,10,38,21,15,20,29,6,0,Moderate
Punjab,Dera Bassi,M/s Punjab Chemicals and Crop Protec- tion Ltd.,504,RIRuO,128,12,38,23,15,24,31,6,0,Moderate
Punjab,Dera Bassi,"M/s Winsome Yarns Ltd., Barwala Road, Derabassi",505,RIRuO,138,12,42,24,15,24,30,6,0,Moderate
Punjab,Pathankot/,C-PYTE Building at Dera Baba Nanak,590,RIRuO,56,12,16,14,13,14,15,1,0,Low
Punjab,Gobindgarh,M/s Modi Oil and General Mills,302,RIRuO,107,19,53,34,26,34,40,6,0,Moderate
Punjab,Gobindgarh,M/s Raj Steel Rolling Mills,301,RIRuO,121,21,49,35,28,35,41,6,0,Moderate
Punjab,Gobindgarh,"United Rolling Mills, Mandi Gobindgarh",483,RIRuO,96,25,50,35,30,34,40,4,0,Moderate
Punjab,Jalandar,Municipal Council Tubewell,353,RIRuO,25,22,33,29,24,30,33,3,0,Null
Punjab,Khanna,"Markfed Vanaspati, Khanna",485,RIRuO,123,20,47,31,27,30,39,5,0,Moderate
Punjab,Khanna,"AS School, Khanna",484,RIRuO,134,22,48,31,27,30,39,5,0,Moderate
Punjab,Ludhiana,Bharat Nagar Chowk,422,RIRuO,24,27,31,29,27,30,31,1,0,Null
Punjab,Ludhiana,"Nahar Spining Mlls, Dholewal Chawk",76,RIRuO,115,22,63,35,26,33,45,9,0,Moderate
Punjab,Ludhiana,"Milk plant, Ferozpur Road",61,RIRuO,131,22,49,30,24,28,39,6,0,Moderate
Punjab,Ludhiana,Vishavkarma Chowk,335,RIRuO,126,22,61,33,24,30,45,9,0,Moderate
Punjab,Naya Nangal,M/s Punjab Alkalis & Chemicals Ltd.,420,RIRuO,111,10,26,16,11,16,21,3,0,Low
Punjab,Naya Nangal,M/s NFL Guest House,421,RIRuO,104,10,32,17,11,16,23,5,0,Low
Punjab,Patiala,Ceylon Industries,600,RIRuO,125,13,31,20,15,17,24,4,0,Low
Punjab,Patiala,"Fire Brigade Station, Bahera Road,",599,RIRuO,120,11,32,20,14,20,26,5,0,Low
Puducherry,Puducherry,"DSTC Office Upstairs, AnnaNagar",64,RIRuO,90,7,20,14,11,14,18,3,0,Low
Puducherry,Puducherry,PIPDIC Ind. Estate Mettupalayam,93,RIRuO,82,7,20,15,11,16,18,3,0,Low
Puducherry,Puducherry,Chamber Of Commerce,337,RIRuO,83,5,18,10,6,10,14,4,0,Low
Rajasthan,Alwar,"Regional Office, Rajasthan SPCB",372,ES (Aravali range),79,12,51,26,17,24,38,9,0,Moderate
Rajasthan,Alwar,Gaurav Solvex Ltd. MIA,373,ES (Aravali range),75,8,58,26,16,22,40,11,0,Moderate
Rajasthan,Alwar,"RIICO Pump House, MIA",219,ES (Aravali range),72,6,53,21,12,19,30,8,0,Moderate
Rajasthan,Jaipur,Ajmeri Gate,296,RIRuO,1,6,55,38,33,37,42,5,0,Null
Rajasthan,Jaipur,"RJPB Office,Jhalana Doongari",298,RIRuO,110,12,40,31,27,32,35,4,0,Moderate
Rajasthan,Jaipur,"Office of District Education Officer, Chandpole",408,RIRuO,93,26,64,42,34,41,48,6,0,High
Rajasthan,Jaipur,"RIICO Office, M.I.A.",410,RIRuO,102,25,44,34,28,34,40,5,0,Moderate
Rajasthan,Jaipur,"Regional Office (North), RSPCB, Vidyad- har Nagar",409,RIRuO,109,32,50,40,33,40,47,5,0,Moderate
Rajasthan,Jaipur,VKIA,297,RIRuO,114,28,54,41,32,41,49,6,0,High
Rajasthan,Jodhpur,"DIC Office, Industrial Estate",413,RIRuO,96,13,37,23,20,22,25,3,0,Moderate
Rajasthan,Jodhpur,Sojati Gate,273,RIRuO,103,17,45,24,21,24,26,3,0,Moderate
Rajasthan,Jodhpur,"Basni Industrial Area, RIICO Office",274,RIRuO,97,15,40,22,19,22,25,4,0,Moderate
Rajasthan,Jodhpur,Maha Mandir Police Thane,376,RIRuO,99,16,50,20,18,20,21,4,0,Low
Rajasthan,Jodhpur,"Office of Housing Board, Chopasani Road",411,RIRuO,98,15,52,21,18,20,23,4,0,Moderate
Rajasthan,Jodhpur,Shastri Nagar Police Thana,412,RIRuO,102,16,44,24,20,23,27,4,0,Moderate
Rajasthan,Kota,"Regional Office, RJPB, Anantpura",17,RIRuO,102,16,58,32,19,25,52,14,0,Moderate
Rajasthan,Kota,Municipal Corporation Building,326,RIRuO,101,15,57,28,18,25,44,11,0,Moderate
Rajasthan,Kota,Samcore Glass Ltd.,325,RIRuO,103,14,59,28,16,23,44,12,0,Moderate
Rajasthan,Udaipur,Ambamata,320,RIRuO,92,21,43,33,27,32,40,5,0,Moderate
Rajasthan,Udaipur,Town Hall,294,RIRuO,96,25,42,35,30,35,40,4,0,Moderate
Rajasthan,Udaipur,"Regional Office,MIA",321,RIRuO,86,28,42,35,30,35,40,4,0,Moderate
Tamilnadu,Chennai,"Kathivakkam, Municipal Kalyana Manda- pam",38,RIRuO,100,13,25,18,15,18,22,2,0,Low
Tamilnadu,Chennai,"Govt. High School, Manali",71,RIRuO,102,12,27,19,17,19,23,3,0,Low
Tamilnadu,Chennai,Thiruvottiyur,72,RIRuO,93,13,31,20,14,20,25,4,0,Low
Tamilnadu,Chennai,Madras Medical College,159,RIRuO,93,5,43,12,5,10,24,8,0,Low
Tamilnadu,Chennai,"NEERI, CSIR Campus",160,RIRuO,95,5,48,10,5,8,16,7,0,Low
Tamilnadu,Chennai,Thiruvottiyur Municipal Office,161,RIRuO,94,5,40,10,5,8,18,6,0,Low
Tamilnadu,Coimbatore,"Poniarajapuram, On the top of DEL",371,RIRuO,50,14,50,21,14,20,28,7,0,Moderate
Tamilnadu,Coimbatore,G.D.Matric Hr.Sec.School,238,RIRuO,93,11,51,23,15,23,27,7,0,Moderate
Tamilnadu,Coimbatore,SIDCO Office Kurichi,237,RIRuO,85,12,264,37,17,29,50,40,0,Moderate
Tamilnadu,Madurai,Highway (Project -I) Building,306,RIRuO,102,13,34,24,20,24,29,4,0,Moderate
Tamilnadu,Madurai,Fenner (I) Ltd. Susee Cars & Trucks,307,RIRuO,92,16,38,25,20,25,30,4,0,Moderate
Tamilnadu,Madurai,Kunnathur Chatram Girls HS School,308,RIRuO,94,15,73,25,20,25,29,6,0,Moderate
Tamilnadu,Salem,Sowdeswari College Building,309,RIRuO,96,13,45,26,20,25,32,6,0,Moderate
Tamilnadu,Tuticorin,Fisheries College,239,RIRuO,98,4,31,11,6,10,18,5,0,Low
Tamilnadu,Tuticorin,Raja Agencies,240,RIRuO,86,2,36,13,7,11,21,7,0,Low
Uttar Pradesh,Agra,"Regional Office, Bodla",323,ES (Taj-trapezium),80,9,14,11,1,10,11,12,0,Low
Uttar Pradesh,Agra,Nunhai,324,ES (Taj-trapezium),79,8,15,12,1,10,12,14,0,Low
Uttar Pradesh,Agra,Taj Mahal,1,ES (Taj-trapezium),287,5,61,19,5,17,35,12,0,Moderate
Uttar Pradesh,Agra,DIC Nunhai,415,ES (Taj-trapezium),131,5,67,33,16,32,50,13,0,High
Uttar Pradesh,Agra,Etmad-uddaulah,416,ES (Taj-trapezium),123,5,53,22,9,21,38,11,0,Moderate
Uttar Pradesh,Agra,Rambagh,417,ES (Taj-trapezium),117,5,55,24,11,23,39,11,0,Moderate
Uttar Pradesh,Allahabad,Square crossing circle of Laxmi Talkies,554,RIRuO,105,14,57,27,9,18,26,39,0,Moderate
Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,555,RIRuO,105,11,46,21,7,14,20,28,0,Moderate
Uttar Pradesh,Anpara,"Anpara Colony, Sonabhadra",6,RIRuO,104,19,53,28,3,25,28,31,0,Moderate
Uttar Pradesh,Anpara,"Renusagar Colony, Sonabhadra",7,RIRuO,87,21,31,27,2,25,28,29,0,Moderate
Uttar Pradesh,Ferozabad,Center for Development of Glass Indus- try ( CDGI),399,ES (Taj-trapezium),104,23,42,35,4,28,35,40,0,High
Uttar Pradesh,Ferozabad,Tilak Nagar,400,ES (Taj-trapezium),103,23,43,33,4,25,34,38,0,High
Uttar Pradesh,Ferozabad,Raza ka Tal,401,ES (Taj-trapezium),101,21,59,32,5,25,33,36,0,High
Uttar Pradesh,Gajraula,"Raunaq Auto Ltd, J.P. Nagar",140,RIRuO,85,17,29,23,19,23,27,3,0,Moderate
Uttar Pradesh,Gajraula,"Indira Chowk, J.P. Nagar",139,RIRuO,65,9,28,21,16,21,26,4,0,Moderate
Uttar Pradesh,Ghaziabad,"M/s Atlas Cycles Industries Ltd, Sahiba- bad Industrial Area",258,RIRuO,97,34,41,38,35,37,40,2,0,Moderate
Uttar Pradesh,Ghaziabad,Bulandshaar Road Industrial Area,369,RIRuO,88,29,40,36,32,37,39,3,0,Moderate
Uttar Pradesh,Jhansi,Jail Chauraha,517,RIRuO,120,18,34,27,21,28,30,9,0,Moderate
Uttar Pradesh,Jhansi,Veeranga Nagar,518,RIRuO,120,15,30,24,18,25,28,4,0,Moderate
Uttar Pradesh,Kanpur,"Forest & Training Centre, Kidwai Nagar",212,RIRuO,98,22,44,34,27,34,41,5,0,Moderate
Uttar Pradesh,Kanpur,"Chamber Of Commerce, Darshanpurwa",98,RIRuO,81,18,43,33,26,34,41,6,0,Moderate
Uttar Pradesh,Kanpur,Fazalganj,86,RIRuO,80,30,50,38,33,38,41,3,0,Moderate
Uttar Pradesh,Kanpur,Dabauli,391,RIRuO,71,23,41,33,28,34,39,4,0,Moderate
Uttar Pradesh,Kanpur,"Awas Vikas, Jajmau",395,RIRuO,89,23,45,32,27,31,38,5,0,Moderate
Uttar Pradesh,Khurja,Central Glass & Ceramic ResearchInstitute,534,RIRuO,58,23,38,30,26,31,34,3,0,Moderate
Uttar Pradesh,Khurja,Ahirpara,535,RIRuO,58,20,28,23,21,24,26,2,0,Moderate
Uttar Pradesh,Lucknow,Mahanagar,377,RIRuO,74,28,39,34,30,34,37,2,0,Moderate
Uttar Pradesh,Lucknow,"Chandganj Garden, Aliganj",398,RIRuO,109,29,40,34,31,34,37,2,0,Moderate
Uttar Pradesh,Lucknow,"Kapoor Hotel, Hazratganj",109,RIRuO,82,28,38,33,30,34,36,2,0,Moderate
Uttar Pradesh,Lucknow,Talkatora,113,RIRuO,81,30,49,36,32,36,39,3,0,Moderate
Uttar Pradesh,Lucknow,"S.M.K Chowk, Aminabad",397,RIRuO,103,29,41,34,31,34,37,3,0,Moderate
Uttar Pradesh,Meerut,Begum Bridge,550,RIRuO,68,35,65,52,42,53,59,7,0,High
Uttar Pradesh,Meerut,"Thana Railway Road, Kesarganj",551,RIRuO,40,21,61,43,35,41,51,8,0,Null
Uttar Pradesh,Muradabad,Budh Bazar,NA,RIRuO,28,14,44,25,17,24,38,8,0,Null
Uttar Pradesh,Muradabad,PTC,NA,RIRuO,30,3,31,16,9,15,22,6,0,Null
Uttar Pradesh,Noida,"Regional Office, UP PCB",403,RIRuO,95,26,62,46,35,47,57,8,0,High
Uttar Pradesh,Noida,Gee-Pee Electroplating and EngineeringWork,378,RIRuO,96,28,60,46,33,48,55,8,0,High
Uttar Pradesh,Varanasi,"Regional Office, Jawahar Nagar",362,RIRuO,82,18,21,20,19,19,20,Null,0,Low
Uttar Pradesh,Varanasi,Sigra,553,RIRuO,79,19,23,20,19,20,20,1,0,Low
Uttarakhand,Dehradun,"Raipur Road, Near parag Diary",90,ES (Doon valley),18,24,32,28,25,28,31,2,0,Null
Uttarakhand,Dehradun,"Clock Tower, PWD Guest House",89,ES (Doon valley),32,27,35,31,29,31,34,2,0,Null
Uttarakhand,Dehradun,Himalaya Drug Co. Near ISBT,637,ES (Doon valley),Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Uttarakhand,Haldwani,Govt. Women Hospital,625,RIRuO,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Uttarakhand,Haridwar,"SIDCUL, Haridwar",635,RIRuO,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Uttarakhand,Kashipur,"BSNL Office, Kashipur",627,RIRuO,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Uttarakhand,Rishikesh,Nagar Palika Parishad,636,ES (Hill station),Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
West Bengal,Asansol,Asansol Municipal Corporation,386,RIRuO,105,49,87,68,62,67,80,9,12,Critical
West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",593,RIRuO,105,47,94,68,61,68,86,11,12,Critical
West Bengal,Asansol,"Burnpur Town Department, Burnpur",592,RIRuO,105,43,83,63,54,62,76,10,5,Critical
West Bengal,Barrackpore,Barrackpore Municiaplity,655,RIRuO,102,33,118,65,43,64,92,19,22,Critical
West Bengal,Barrackpore,Dum Dum Telephone Exchange,653,RIRuO,101,40,146,76,49,70,116,26,32,Critical
West Bengal,Barrackpore,Khardah Municipality,654,RIRuO,102,42,156,80,52,72,126,28,39,Critical
West Bengal,Durgapur,"DMC Water Works, Angadpur",591,RIRuO,105,39,86,63,50,61,79,11,10,Critical
West Bengal,Durgapur,"Kwality Hotel, Bhiringi More, Benachiti",384,RIRuO,105,44,94,69,55,67,84,11,14,Critical
West Bengal,Durgapur,"Bidhannagar, PCBL Club, Muchipara",385,RIRuO,105,36,84,60,47,58,75,12,3,High
West Bengal,Durgapur,"Dew India Limited, PCBL More, Dur- gapur",383,RIRuO,105,48,100,73,59,72,89,11,21,Critical
West Bengal,Haldia,"Bhabanipur, Debhog Milan Viyapith",663,RIRuO,108,41,68,53,46,54,59,5,0,High
West Bengal,Haldia,"Driver's Hut of M/s. MCC PTA, BhuniaRaichak",664,RIRuO,108,35,64,51,44,52,57,5,0,High
West Bengal,Haldia,"Supermarket Building, Durgachak",15,RIRuO,108,37,61,50,43,50,56,5,0,High
West Bengal,Haldia,WBIIDC Durgachak,14,RIRuO,108,43,64,53,46,53,59,5,0,High
West Bengal,Howrah,Howrah Municipal Corporation Building,8,RIRuO,103,43,161,80,50,72,119,27,38,Critical
West Bengal,Howrah,"Naskarpara Pump House, Ghuseri",10,RIRuO,103,37,141,73,46,68,111,25,33,Critical
West Bengal,Howrah,"CDS & Health Centre, Bator",11,RIRuO,103,29,115,63,42,61,89,19,19,Critical
West Bengal,Howrah,"Howrah Municipality School, Bandhaghat",9,RIRuO,103,40,169,85,51,81,127,30,50,Critical
West Bengal,Kolkata,"Salt Lake, Rooftop of CK Market",474,RIRuO,103,27,135,61,38,53,92,25,20,Critical
West Bengal,Kolkata,"Moulali, Rooftop of KMC office Building",473,RIRuO,104,38,160,75,48,63,113,28,37,Critical
West Bengal,Kolkata,"Minto Park, Inside Park AJC Bose Road",475,RIRuO,102,26,109,60,35,52,92,22,24,High
West Bengal,Kolkata,"Dunlop Bridge, National Sample SurveyBuilding",472,RIRuO,102,32,131,67,41,58,103,25,28,Critical
West Bengal,Kolkata,"Behala Chowrasta, Traffic Guard Building",476,RIRuO,103,30,147,72,47,63,112,27,28,Critical
West Bengal,Kolkata,"Baishnabghata, Upanagari Sporting Club",477,RIRuO,101,24,117,52,30,44,84,22,15,High
West Bengal,Kolkata,"Cossipore Police Station, B.T. Road",162,RIRuO,96,10,221,65,26,56,122,37,25,Critical
West Bengal,Kolkata,"Lal-Bazar, Dalhousie Square",163,RIRuO,96,12,126,58,27,52,98,28,25,High
West Bengal,Kolkata,Kasba,348,RIRuO,96,5,137,48,13,39,94,32,16,High
West Bengal,Raniganj,Raniganj Municipality,662,RIRuO,105,53,93,70,59,70,82,9,13,Critical
West Bengal,Raniganj,"Mangalpur, SKS School Mangalpur",660,RIRuO,105,42,82,61,48,59,73,10,2,Critical
West Bengal,Raniganj,Jamuria Municipality,661,RIRuO,105,40,81,59,45,56,74,11,2,High
West Bengal,Sankrail,Bharat Co-operative Housing Society,657,RIRuO,104,28,116,65,42,62,95,20,22,Critical
West Bengal,Sankrail,"Bagan Police Station, Bagan",659,RIRuO,104,30,154,76,44,67,122,30,30,Critical
West Bengal,Sankrail,Dhulagar Gram Pachayat,656,RIRuO,104,30,137,74,44,70,118,26,27,Critical
West Bengal,Sankrail,"P Mukherjee's House, Near SBI Amta",658,RIRuO,104,22,74,46,30,47,62,12,0,High
West Bengal,South Suburban,"Chanditala Water Supply Pump House, Tollygunge",652,RIRuO,102,22,119,59,34,51,90,24,22,High
West Bengal,South Suburban,"Bauipur Police Station, Baruipur",650,RIRuO,105,26,109,52,29,43,84,22,13,High
West Bengal,South Suburban,"P Roy Industrial Training Institute, Amtala",651,RIRuO,103,27,110,57,33,47,89,23,20,High
