State,City,Location,Type,Numbers of  monitoring days (n),Suspended Particulate Matter(SPM)- Annual average (µg/m3),Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial,110,306,0,Moderate
Andhra Pradesh,Hyderabad,Nacharam,Industrial,93,104,0,Low
Andhra Pradesh,Hyderabad,Uppal,Industrial,108,302,0,Moderate
Andhra Pradesh,Hyderabad,ABIDS Circle,Residential and other,93,192,42,High
Andhra Pradesh,Hyderabad,Charminar,Residential and other,106,325,97,Critical
Andhra Pradesh,Hyderabad,Jubilee Hills,Residential and other,108,155,12,High
Andhra Pradesh,Hyderabad,Paradise,Residential and other,108,315,99,Critical
Andhra Pradesh,Hyderabad,Tarnaka,Residential and other,98,164,26,High
Andhra Pradesh,Hyderabad,Zoo Park,Sensitive,107,160,11,Critical
Andhra Pradesh,Kurnool,Mourya Inn,Residential and other,106,171,12,High
Andhra Pradesh,Patencheru,Police Station,Residential and other,105,246,58,Critical
Andhra Pradesh,Ramagundam,RTC Bus Depot,Residential and other,101,264,63,Critical
Andhra Pradesh,Tirupati,Reg.Science Center,Sensitive,116,109,63,Critical
Andhra Pradesh,Vijaywada,Autonagar,Industrial,110,238,0,Moderate
Andhra Pradesh,Vijaywada,Benz Circle,Residential and other,110,201,58,High
Andhra Pradesh,Visakhapatnam,Industrial Estate,Industrial,112,143,0,Low
Andhra Pradesh,Visakhapatnam,Ganapuram Area,Residential and other,112,223,1,Critical
Andhra Pradesh,Visakhapatnam,Mndi,Residential and other,111,159,26,High
Andhra Pradesh,Visakhapatnam,Police Barracks,Residential and other,113,226,63,Critical
Andhra Pradesh,Visakhapatnam,Seethammadhara,Residential and other,112,179,30,High
Andhra Pradesh,Visakhapatnam,Naval Area/ ESI Hospital  ,Sensitive,112,142,87,Critical
Assam,Bongaigaon,Barpara Office Bldg,Residential and other,106,91,4,Moderate
Assam,Bongaigaon,Campus of Oil India,Residential and other,105,113,8,Moderate
Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and other,96,92,1,Moderate
Assam,Golaghat,Golaghat Off. Bldg.,Residential and other,43,108,0,NA
Assam,Guwahati,Fire Brigade Station,Residential and other,92,211,57,Critical
Assam,Guwahati,Gopinath Nagar,Residential and other,211,163,27,High
Assam,Guwahati,Head Office,Residential and other,93,233,67,Critical
Assam,Guwahati,Near Pragiyotish College ,Residential and other,225,151,19,High
Assam,Hailakandi,CISF Campus,Residential and other,61,104,3,Moderate
Assam,Sibsagar,Sibasagar Off. Bldg,Residential and other,57,119,4,Moderate
Assam,Tezpur,Tezpur Office Bldg,Residential and other,91,131,21,Moderate
Bihar,Patna,Beltron Bhawan,Residential and other,75,225,61,Critical
Bihar,Patna,Gandhi Maidan T C,Residential and other,64,390,95,Critical
Chandigarh,Chandigarh,Industrial Area,Industrial,153,257,0,Moderate
Chandigarh,Chandigarh,Kaimbwala Village,Residential and other,152,187,40,High
Chandigarh,Chandigarh,Punjab Eng College,Residential and other,151,181,33,High
Chandigarh,Chandigarh,Sector-17 C,Residential and other,154,168,34,High
Chandigarh,Chandigarh,Sector-39,Residential and other,153,196,42,High
Chhattisgarh,Bhilai Nagar,M.P.L.U. Nigam,Industrial,78,264,0,Moderate
Chhattisgarh,Bhilai Nagar,Regional Office,Residential and other,76,163,0,High
Chhattisgarh,Bhilai Nagar,Visak Hostel,Residential and other,79,179,6,High
Chhattisgarh,Korba," I.T.I, Rampur",Residential and other,102,236,84,Critical
Chhattisgarh,Korba,"HIG 21,22, MP Nagar (Extn)",Residential and other,108,226,72,Critical
Chhattisgarh,Korba,Pragati Nagar,Residential and other,89,213,63,Critical
Chhattisgarh,Raipur,Wool Worth I.Pvt.Ltd,Industrial,65,385,12,High
Chhattisgarh,Raipur,"New HIG - 9, Hirapur",Residential and other,67,381,98,Critical
Chhattisgarh,Raipur,Yatayat Thana,Residential and other,46,337,100,NA
Dadra & Nagar Haveli,Silvasa,Khadoli Industrial Area,Industrial,104,228,0,Moderate
Dadra & Nagar Haveli,Silvasa,Chetan Guest House,Residential and other,104,154,2,High
Daman & Diu,Daman,Kadaiya,Industrial,104,244,0,Moderate
Daman & Diu,Daman,Airport Road,Residential and other,102,178,22,High
Delhi,Delhi,Mayapuri Indl. Area,Industrial,96,529,54,High
Delhi,Delhi,Shahdara,Industrial,75,459,35,High
Delhi,Delhi,Shahzada Bagh,Industrial,68,460,32,High
Delhi,Delhi,Janakpuri,Residential and other,77,408,91,Critical
Delhi,Delhi,N.Y. School,Residential and other,79,355,77,Critical
Delhi,Delhi,Nizamuddin,Residential and other,65,406,92,Critical
Delhi,Delhi,Pritampura,Residential and other,69,371,94,Critical
Delhi,Delhi,Siri Fort,Residential and other,73,398,91,Critical
Delhi,Delhi,Town Hall,Residential and other,96,508,95,Critical
Goa,Mormugao,Mormugao Port Trust,Industrial,101,98,0,Low
Goa,Panaji,"Patto, Panaji",Residential and other,104,103,0,Moderate
Goa,Vasco,Electricity Deptt.,Industrial,101,108,0,Low
Gujarat,Ahmedabad,Naroda,Industrial,104,339,0,Moderate
Gujarat,Ahmedabad,Shardaban Hospital,Industrial,98,203,0,Moderate
Gujarat,Ahmedabad,Cadilla Bridge Narol,Residential and other,105,207,0,High
Gujarat,Ahmedabad,Behrampura,Residential and other,104,194,37,High
Gujarat,Ahmedabad,L.D. Eng. College,Residential and other,104,177,12,High
Gujarat,Ahmedabad,R.C. High School,Residential and other,103,198,40,High
Gujarat,Anklesvar,Rallies India Ltd,Industrial,105,214,0,Moderate
Gujarat,Anklesvar,Durga Traders,Residential and other,105,154,0,High
Gujarat,Jamnagar,Fisheries Office,Residential and other,104,175,6,High
Gujarat,Rajkot,Sardhara Indl.Corp.,Industrial,104,218,0,Moderate
Gujarat,Rajkot,Regional Office,Residential and other,102,164,6,High
Gujarat,Surat, Udhna,Industrial,103,198,0,Moderate
Gujarat,Surat,Near A.I. Office,Residential and other,104,171,0,High
Gujarat,Surat,S.V.R. Eng. College,Residential and other,103,150,0,High
Gujarat,Vadodara,CETP,Industrial,104,276,0,Moderate
Gujarat,Vadodara,Dandia Bazar,Residential and other,105,153,14,High
Gujarat,Vadodara,GPCB Office,Residential and other,104,101,0,Moderate
Gujarat,Vapi,GEB,Industrial,105,167,0,Low
Gujarat,Vapi,Vapi Nagar Palika,Residential and other,106,148,4,High
Haryana,Hisar,Guru Jambeshwar Uni,Residential and other,44,163,0,NA
Haryana,Hisar,Urban Estate-II,Residential and other,43,233,60,NA
Haryana,Yamunanagar,Ballarpur Industries,Industrial,13,430,23,NA
Haryana,Faridabad,Regional Office,Residential and other,90,312,100,Critical
Haryana,Faridabad,M/s Shivalik Global Ltd,Industrial,64,345,0,Moderate
Himachal Pradesh,Baddi,AHC,Industrial,10,177,0,NA
Himachal Pradesh,Baddi,Industry Department,Industrial,160,334,9,Moderate
Himachal Pradesh,Baddi,Housing Board,Residential and other,10,216,29,NA
Himachal Pradesh,Damtal,Old Road,Residential and other,80,143,9,High
Himachal Pradesh,Damtal,Regional Office,Residential and other,101,107,0,Moderate
Himachal Pradesh,Kala- Amb, Industrial Area,Industrial,155,427,28,High
Himachal Pradesh,Kala- Amb,Trilok Pur,Residential and other,157,171,34,High
Himachal Pradesh,Nalagarh,M.C.,Residential and other,11,164,27,NA
Himachal Pradesh,Paonta Sahib,Gondpur Indl. Area,Industrial,124,286,2,Moderate
Himachal Pradesh,Paonta Sahib,Paonta Sahib,Residential and other,147,180,0,High
Himachal Pradesh,Parwanoo,AC Office Bldg.,Industrial,105,172,0,Low
Himachal Pradesh,Parwanoo,Central Laboratory,Residential and other,125,132,10,Moderate
Himachal Pradesh,Shimla,Bus Stand,Residential and other,120,115,2,Moderate
Himachal Pradesh,Shimla,Tekka Bench Ridge,Sensitive,136,88,34,Critical
Jammu & Kashmir,Jammu,M.A.M. Station,Residential and other,42,162,21,NA
Jharkhand,Dhanbad,Regional Office,Residential and other,92,190,35,High
Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial,92,272,0,Moderate
Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial,82,293,0,Moderate
Jharkhand,Jharia,M.A.D.A.,Industrial,44,279,5,NA
Jharkhand,Ranchi,Albert Ekka Chowk,Residential and other,91,324,13,Critical
Jharkhand,Sindri,BIT,Industrial,86,198,0,Moderate
Karnataka,Bangalore,Graphite India,Industrial,78,408,31,High
Karnataka,Bangalore,KHB Indl Area,Industrial,120,205,1,Moderate
Karnataka,Bangalore,Peenya Indl. Area,Industrial,92,324,8,Moderate
Karnataka,Bangalore,AMCO Batteries,Residential and other,102,208,44,High
Karnataka,Bangalore,Yeshwanthpura,Residential and other,105,288,69,Critical
Karnataka,Bangalore,Victoria Hospital,Sensitive,104,204,100,Critical
Karnataka,Belgaum,Karnataka SPCB,Industrial,100,72,0,Low
Karnataka,Gulbarga,Govt. Hospital,Sensitive,94,210,99,Critical
Karnataka,Hassan,KSRTC Bus Stand,Residential and other,107,123,0,Moderate
Karnataka,Hubli-Dharwad,L. Industrial Area,Industrial,80,210,0,Moderate
Karnataka,Hubli-Dharwad,Rani C. Circle,Residential and other,95,223,51,Critical
Karnataka,Mangalore,Baikampady Indl. Area,Industrial,105,118,0,Low
Karnataka,Mysore,K.R. Circle,Residential and other,103,97,0,Moderate
Karnataka,Mysore,Hebbal Industrial Area,Industrial,97,94,0,Low
Kerala,Kochi,Eloor,Industrial,91,105,0,Low
Kerala,Kochi,Kalamassery,Industrial,84,101,0,Low
Kerala,Kochi,Irumpanam,Industrial,107,62,0,Low
Kerala,Kochi,Eloor II,Industrial,94,77,0,Low
Kerala,Kochi,Ernakulum South,Residential and other,108,88,0,Moderate
Kerala,Kochi,"FCI, OEN C. O. Bldg",Residential and other,62,58,0,Low
Kerala,Kochi,M.G. Road,Residential and other,101,67,1,Low
Kerala,Kottayam,Vadavathoor,Industrial,96,39,0,Low
Kerala,Kottayam,Kottayam,Residential and other,97,61,0,Low
Kerala,Kozhikode,Nallalam,Industrial,108,76,0,Low
Kerala,Kozhikode,Kozhikode City,Residential and other,106,83,0,Moderate
Kerala,Palakkad,SEPR Refractories India Ltd. Kanjikode,Industrial,102,137,4,Low
Kerala,Trivandrum,Hi Tech Chackai,Industrial,100,97,0,Low
Kerala,Trivandrum,PRS Hospital,Sensitive,101,75,2,High
Kerala,Trivandrum,Sasthamangalam,Residential and other,96,58.9,0,Low
Kerala,Trivandrum,SMV School,Residential and other,101,76,1,Moderate
Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and other,93,214,60,Critical
Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and other,92,316,82,Critical
Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive,90,176,84,Critical
Maharashtra,Chandrapur,M.I.D.C.,Industrial,83,215,2,Moderate
Maharashtra,Chandrapur,Nagar Parishad,Residential and other,88,233,56,Critical
Maharashtra,Chandrapur,"SRO, Bapat Nagar",Residential and other,87,264,64,Critical
Maharashtra,Kolhapur,Mahadwar Road,Residential and other,103,193,51,High
Maharashtra,Kolhapur,Ruikar Trust Dabhlkar Corner,Residential and other,101,251,71,Critical
Maharashtra,Kolhapur,Shivaji University,Residential and other,78,142,12,High
Maharashtra,Lote,MIDC WTP,Industrial,52,127,0,Low
Maharashtra,Lote,Chalke Wadi,Residential and other,52,155,27,High
Maharashtra,Mumbai,Parel,Industrial,96,272,4,Moderate
Maharashtra,Mumbai,Kalbadevi,Residential and other,94,251,57,Critical
Maharashtra,Mumbai,Worli,Residential and other,99,256,70,Critical
Maharashtra,Nagpur,Hingna Road,Industrial,93,256,1,Moderate
Maharashtra,Nagpur,MIDC Office,Industrial,93,185,2,Moderate
Maharashtra,Nagpur,Govt. Poly. College,Residential and other,79,155,19,High
Maharashtra,Nagpur,Institution of Eng.,Residential and other,94,166,30,High
Maharashtra,Nagpur,Maskasath,Residential and other,78,228,62,Critical
Maharashtra,Nagpur,NEERI Lab,Residential and other,94,165,33,High
Maharashtra,Nashik,VIP Industrial Area,Industrial,100,153,0,Low
Maharashtra,Nashik,NMC Building,Residential and other,105,176,40,High
Maharashtra,Nashik,RTO Colony Tank,Residential and other,96,135,17,Moderate
Maharashtra,Navi Mumbai,MIDC Taloja,Industrial,101,421,32,High
Maharashtra,Navi Mumbai,MPCB Central Lab,Industrial,84,285,11,Moderate
Maharashtra,Navi Mumbai,Airoli,Residential and other,106,216,52,Critical
Maharashtra,Navi Mumbai,MESB Power Station,Residential and other,102,266,60,Critical
Maharashtra,Navi Mumbai,Nerul,Residential and other,112,252,54,Critical
Maharashtra,Navi Mumbai,Panvel Water Works,Residential and other,100,421,67,Critical
Maharashtra,Pune,Bhosari,Industrial,101,286,3,Moderate
Maharashtra,Pune,Nalstop,Residential and other,103,253,66,Critical
Maharashtra,Pune,Swargate,Residential and other,100,257,63,Critical
Maharashtra,Solapur,WIT Campus,Industrial,105,245,0,Moderate
Maharashtra,Solapur,Voronoko Primary School,Residential and other,104,245,88,Critical
Maharashtra,Tarapur,MIDC Office Compound,Industrial,36,101,0,NA
Maharashtra,Tarapur,Police Chowki,Industrial,35,129,0,NA
Maharashtra,Tarapur,Sports Stadium,Industrial,37,104,0,NA
Maharashtra,Thane,Balkum/Kolshet,Industrial,78,135,0,Low
Maharashtra,Thane,Kopri,Residential and other,78,127,1,Moderate
Maharashtra,Thane,Naupada,Residential and other,81,126,0,Moderate
Manipur, Imphal,Secretariat Building,Residential and other,20,238,60,NA
Meghalaya,Shillong,Boards Office,Residential and other,87,63,0,Low
Meghalaya,Shillong,"MUDA Complex , Police Bazar",Residential and other,36,119,0,NA
Mizoram,Aizawl,Bawngkawn,Residential and other,102,95,0,Moderate
Mizoram,Aizawl,Khatla,Residential and other,104,87,0,Moderate
Mizoram,Aizawl,Laipuitlang,Residential and other,103,59,0,Low
Madhya Pradesh,Bhopal,Govindpura,Industrial,47,205,0,NA
Madhya Pradesh,Bhopal,Arera Colony,Residential and other,54,356,98,Critical
Madhya Pradesh,Bhopal,Hamidia Road,Residential and other,53,308,83,NA
Madhya Pradesh,Bhopal,T.T.Nagar,Residential and other,63,120,11,Moderate
Madhya Pradesh,Dewas,EID Perry (I) Ltd.,Industrial,99,218,5,Moderate
Madhya Pradesh,Dewas,Vikas Nagar,Residential and other,93,187,26,High
Madhya Pradesh,Gwalior,Dindayal Nagar,Residential and other,79,234,62,Critical
Madhya Pradesh,Gwalior,Maharaj Bada,Residential and other,26,306,88,NA
Madhya Pradesh,Indore,Polo Ground,Industrial,87,357,1,Moderate
Madhya Pradesh,Indore,Kothari Market,Residential and other,86,325,99,Critical
Madhya Pradesh,Indore,Telephone Nagar,Residential and other,93,203,61,High
Madhya Pradesh,Jabalpur,Vijay Nagar,Residential and other,91,297,100,Critical
Madhya Pradesh,Nagda,Chem. D. Labour Club,Industrial,74,158,0,Low
Madhya Pradesh,Nagda,Grasim Guest House No.2,Residential and other,87,132,1,Moderate
Madhya Pradesh,Nagda,Grasim Kalyan Kendra,Residential and other,84,141,2,High
Madhya Pradesh,Sagar,Pt. Deendayal Nagar,Residential and other,99,232,68,Critical
Madhya Pradesh,Satna,Sub-Divisional Off.,Industrial,70,410,10,High
Madhya Pradesh,Satna,Regional Office,Residential and other,68,166,17,High
Madhya Pradesh,Singrauli,Jayant Township,Residential and other,24,386,100,NA
Madhya Pradesh,Singrauli,"N.T.P.C., Vidyanagar",Residential and other,30,326,100,NA
Madhya Pradesh,Singrauli,Waidhan,Residential and other,23,227,96,NA
Madhya Pradesh,Ujjain, District Office,Industrial,98,317,0,Moderate
Madhya Pradesh,Ujjain,Regional Office,Residential and other,85,151,25,High
Madhya Pradesh,Ujjain,Mahakal Temple,Sensitive,75,174,81,Critical
Nagaland,Dimapur,Bank Colony,Residential and other,99,122,2,Moderate
Nagaland,Dimapur,Dhobinala,Residential and other,99,131,6,Moderate
Orissa,Angul, Industrial Estate,Industrial,95,282,2,Moderate
Orissa,Angul,NALCO Township,Residential and other,58,172,23,High
Orissa,Berhampur,Regional Office,Residential and other,104,154,23,High
Orissa,Bhubaneshwar,OSPCB Bldg,Residential and other,108,158,13,High
Orissa,Bhubaneshwar,Capital Police Stn.,Residential and other,101,166,21,High
Orissa,Bhubaneshwar,IRC Village,Residential and other,101,157,18,High
Orissa,Cuttack,Roof of Traffic Tower Cuttack,Residential and other,104,281,71,Critical
Orissa,Cuttack,R.O. Cuttack,Residential and other,86,167,29,High
Orissa,Rayagada,Jaykaypur,Industrial,103,112,0,Low
Orissa,Rayagada,Regional Office,Residential and other,107,121,1,Moderate
Orissa,Rourkela,IDL Police Out-post,Residential and other,105,215,76,Critical
Orissa,Rourkela,Regional Office,Residential and other,104,188,27,High
Orissa,Sambalpur,"PHD Ofice, Sambalpur",Residential and other,110,130,0,Moderate
Orissa,Talcher,Coal Field Area,Industrial,94,234,0,Moderate
Orissa,Talcher,T.T.P.S Colony,Industrial,96,189,0,Moderate
 Punjab,Amritsar,Nagina Soap Factory,Industrial,78,409,1,Critical
 Punjab,Amritsar,A-1 Platters,Residential and other,54,467,100,High
 Punjab,Bathinda,Bathinda Milk Plant,Industrial,88,209,0,Moderate
 Punjab,Dera Bassi,M/s Punjab Chemicals Ltd.,Industrial,130,213,0,Moderate
 Punjab,Dera Bassi,Winsome Yarns Ltd,Industrial,120,210,0,Moderate
 Punjab,Naya Nangal,NFL Guest House,Residential and other,108,203,58,High
Pondicherry,Pondicherry,PIPDIC,Industrial,62,82,0,Low
Pondicherry,Pondicherry,Chamber of Commerce,Residential and other,85,69,1,Low
Pondicherry,Pondicherry,DSTC Office,Residential and other,68,125,9,Moderate
Pondicherry,Alwar,Vitage Distillers Ltd.,Industrial,98,269,2,Moderate
Rajasthan,Alwar,RIICO Pump House,Industrial,102,214,0,Moderate
Rajasthan,Alwar,Regional Office,Residential and other,105,307,80,Critical
Rajasthan,Jaipur,MIA,Industrial,106,198,4,Moderate
Rajasthan,Jaipur,VKIA,Industrial,108,427,32,High
Rajasthan,Jaipur,Ajmeri Gate,Residential and other,102,285,77,Critical
Rajasthan,Jaipur,Chandpole,Residential and other,105,373,95,Critical
Rajasthan,Jaipur,RSPCB Office,Residential and other,124,202,44,High
Rajasthan,Jaipur,Vidyadhar Nagar,Residential and other,108,269,66,Critical
Rajasthan,Jodhpur,Basni Indl. Area,Industrial,90,415,18,High
Rajasthan,Jodhpur,"DIC Office, Industrial Estate",Industrial,104,354,11,Moderate
Rajasthan,Jodhpur,M M Police Thane,Residential and other,99,425,97,Critical
Rajasthan,Jodhpur,Sojati Gate,Residential and other,97,437,98,Critical
Rajasthan,Jodhpur,Housing Board,Residential and other,103,330,86,Critical
Rajasthan,Jodhpur,Shastri Nagar,Residential and other,90,395,96,Critical
Rajasthan,Kota,Regional Office,Industrial,105,273,5,Moderate
Rajasthan,Kota,Municipal C. Bldg,Residential and other,105,253,65,Critical
Rajasthan,Kota,KVK Bhorkhara,Residential and other,103,253,62,Critical
Rajasthan,Udaipur,"Regional Office, MIA",Industrial,102,357,16,Moderate
Rajasthan,Udaipur,Ambamata,Residential and other,104,250,73,Critical
Rajasthan,Udaipur,Town Hall,Residential and other,105,243,73,Critical
Tamil Nadu,Chennai,Manali,Industrial,91,174,0,Low
Tamil Nadu,Chennai,Kathivakkam,Industrial,91,175,2,Low
Tamil Nadu,Chennai,M C Thiruvottiyur,Industrial,71,127,0,Low
Tamil Nadu,Chennai,Thiruvottiyur,Industrial,114,173,0,Low
Tamil Nadu,Chennai,Madras Med. College,Residential and other,81,108,0,Moderate
Tamil Nadu,Chennai,NEERI CSIR Campus,Residential and other,93,94,2,Moderate
Tamil Nadu,Coimbatore,SIDCO Office,Industrial,93,221,0,Moderate
Tamil Nadu,Coimbatore,Dist. Coll. Office,Residential and other,95,96,0,Moderate
Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and other,90,89,2,Moderate
Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial,94,89,0,Low
Tamil Nadu,Madurai,Highway Bldg.,Residential and other,90,82,0,Moderate
Tamil Nadu,Madurai,Kunnathur Chatram,Residential and other,97,92,0,Moderate
Tamil Nadu,Salem,Sowdeswari College,Residential and other,132,122,2,Moderate
Tamil Nadu,Thoothukudi,Raja Agencies,Industrial,92,231,11,Moderate
Tamil Nadu,Thoothukudi,AVM Jewellery Bldg.,Residential and other,98,144,0,High
Tamil Nadu,Thoothukudi,Fisheries College,Residential and other,94,106,4,Moderate
Uttar Pradesh,Agra,Nunhai,Industrial,84,396,11,High
Uttar Pradesh,Agra,Regional Office,Residential and other,108,356,95,Critical
Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive,97,565,98,Critical
Uttar Pradesh,Agra,Itmad-ud-daulah,Sensitive,102,444,98,Critical
Uttar Pradesh,Agra,Rambagh,Sensitive,105,427,98,Critical
Uttar Pradesh,Agra,Taj Mahal,Sensitive,230,305,84,Critical
Uttar Pradesh,Anpara, Anpara Colony,Industrial,98,259,0,Moderate
Uttar Pradesh,Anpara,Renusagar Colony,Industrial,100,243,0,Moderate
Uttar Pradesh,Allahabad,Bharat Yantra Nigam,Residential and other,99,292,70,Critical
Uttar Pradesh,Allahabad,Square Crossing,Residential and other,101,646,94,Critical
Uttar Pradesh,Firozabad,CDGI,Industrial,95,519,67,High
Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and other,88,473,83,Critical
Uttar Pradesh,Firozabad,Tilak Nagar,Residential and other,93,423,81,Critical
Uttar Pradesh,Ghaziabad,Atlas Cycles Ltd,Industrial,67,411,1,High
Uttar Pradesh,Ghaziabad,Bulandshahar R.I.A.,Industrial,55,456,24,High
Uttar Pradesh,Jhansi,Jail Chauraha,Residential and other,103,292,73,Critical
Uttar Pradesh,Jhansi,Veeranga Nagar,Residential and other,100,239,60,Critical
Uttar Pradesh,Kanpur,Fazal Ganj,Industrial,81,496,49,High
Uttar Pradesh,Kanpur,Jajmau,Industrial,96,471,30,High
Uttar Pradesh,Kanpur,Sharda nagar,Residential and other,83,470,100,Critical
Uttar Pradesh,Kanpur,Deputy Ka Parao,Residential and other,94,483,100,Critical
Uttar Pradesh,Kanpur, Kidwai nagar,Residential and other,90,464,100,Critical
Uttar Pradesh,Khurja,CGCRI,Industrial,57,493,0,High
Uttar Pradesh,Khurja,Ahirpara,Residential and other,55,472,100,Critical
Uttar Pradesh,Lucknow,Talkatora,Industrial,96,429,8,High
Uttar Pradesh,Lucknow, Aminabad,Residential and other,93,402,100,Critical
Uttar Pradesh,Lucknow,Aliganj,Residential and other,94,389,100,Critical
Uttar Pradesh,Lucknow,Kapoor Hotel,Residential and other,100,388,100,Critical
Uttar Pradesh,Lucknow,Mahanagar,Residential and other,87,386,100,Critical
Uttar Pradesh,Meerut,Begum Bridge,Residential and other,56,709,100,Critical
Uttar Pradesh,Meerut,Thana Railway Road,Residential and other,66,513,100,Critical
Uttar Pradesh,Noida,GEE-PEE,Industrial,94,424,5,High
Uttar Pradesh,Noida,"R.O, UPPB",Residential and other,95,449,100,Critical
Uttar Pradesh,Varanasi,Regional Office,Residential and other,68,295,45,Critical
Uttar Pradesh,Varanasi,Sigra,Residential and other,83,351,65,Critical
Uttaranchal,Dehradun,Raipur Road,Industrial,13,190,0,NA
Uttaranchal,Dehradun,Clock Tower,Residential and other,39,294,92,NA
West Bengal,Asansol,Asansol M.C.,Industrial,104,296,14,Moderate
West Bengal,Durgapur (WB),Dew India Ltd,Industrial,104,374,28,High
West Bengal,Durgapur (WB),Kwality Hotel,Industrial,104,299,15,Moderate
West Bengal,Durgapur (WB),PCBL Club,Residential and other,104,203,41,High
West Bengal,Haldia,Super Market,Industrial,104,129,0,Low
West Bengal,Haldia,WBIIDC,Industrial,104,135,0,Low
West Bengal,Howrah,Bandhaghat,Industrial,104,234,0,Moderate
West Bengal,Howrah,Howrah MC,Industrial,104,250,7,Moderate
West Bengal,Howrah,Bator,Residential and other,104,204,41,High
West Bengal,Howrah,Naskarpara,Residential and other,104,204,42,High
West Bengal,Kolkata,Behala Chowrasta,Industrial,78,205,4,Moderate
West Bengal,Kolkata,Cossipore Police Station,Industrial,97,374,23,High
West Bengal,Kolkata,Dunlop Bridge,Industrial,78,177,0,Low
West Bengal,Kolkata,Baishnabghata,Residential and other,76,132,20,Moderate
West Bengal,Kolkata,Kasba,Residential and other,87,308,64,Critical
West Bengal,Kolkata,Lal Bazar,Residential and other,97,322,69,Critical
West Bengal,Kolkata,Minto Park,Residential and other,79,143,22,High
West Bengal,Kolkata,Moulali,Residential and other,76,189,30,High
West Bengal,Kolkata,Salt Lake,Residential and other,78,172,26,High
