State,City,Location,Station code,Type,Category of ES,No. of mon. days (n),Min,Max,NO2 Annual average (µg/m3),10 percentile,90 percentile,Std. Dev.,Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Chitoor,GNC Toll Gate Tirumala,582,RIRuO,NA,103,6,10,9,9,9,0,0,Low
Andhra Pradesh,Guntur,"Near Hindu College, Market Road",583,RIRuO,NA,105,10,20,11,2,10,14,0,Low
Andhra Pradesh,Hydrabad,"Tarnaka, NEERI Lab. IICT Campus",150,RIRuO,NA,88,5,44,36,32,42,9,0,Moderate
Andhra Pradesh,Hydrabad,"Nacharam, Industrial Estate",151,RIRuO,NA,87,6,44,37,34,42,8,0,Moderate
Andhra Pradesh,Hydrabad,ABIDS Circle General Post Office,152,RIRuO,NA,88,5,47,37,33,41,7,0,Moderate
Andhra Pradesh,Hydrabad,Balanagar,95,RIRuO,NA,108,18,54,29,21,41,8,0,Moderate
Andhra Pradesh,Hydrabad,"Uppal, Modern Foods & Industries IDA",203,RIRuO,NA,108,19,50,28,21,39,8,0,Moderate
Andhra Pradesh,Hydrabad,Jublee Hills,365,RIRuO,NA,109,11,37,19,14,27,5,0,Low
Andhra Pradesh,Hydrabad,Paradise,393,RIRuO,NA,107,13,47,24,17,35,7,0,Moderate
Andhra Pradesh,Hydrabad,Charminar,394,RIRuO,NA,106,16,43,25,20,32,5,0,Moderate
Andhra Pradesh,Hydrabad,Zoo Park,470,RIRuO,NA,108,10,53,15,12,17,5,0,Low
Andhra Pradesh,Hydrabad,"Jeedimetla Industrial Estate, Rangareddy Distt.",745,RIRuO,NA,95,20,53,28,22,35,7,0,Moderate
Andhra Pradesh,Kakinada,Office Building Ramanayyapeta,578,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Andhra Pradesh,Kothagudem,"CER Club, Khamam",581,RIRuO,NA,90,9,23,11,10,14,3,0,Low
Andhra Pradesh,Kurnool,Mourya Inn,466,RIRuO,NA,102,9,9,9,9,9,0,0,Low
Andhra Pradesh,Nalgonda,AP PCB Nalgonda,577,RIRuO,NA,108,5,18,15,14,17,2,0,Low
Andhra Pradesh,Nellore,"Venkatareddy nagar, Vedayapalem ",580,RIRuO,NA,102,10,26,11,10,16,3,0,Low
Andhra Pradesh,Patencheru,"Police Station, Medak, Ramachadrapuram",468,RIRuO,NA,108,18,25,22,21,24,1,0,Moderate
Andhra Pradesh,Ramagundam ,"Godavarikhani, Ramagundam, Karimnagar",465,RIRuO,NA,81,5,49,11,5,18,7,0,Low
Andhra Pradesh,Tirupati,"Regional Science Centre, Chittoor Bypass",389,RIRuO,NA,103,6,9,9,9,9,0,0,Low
Andhra Pradesh,Vijaywada,Benz Circle,462,RIRuO,NA,115,10,22,12,11,15,2,0,Low
Andhra Pradesh,Vijaywada,Autonagar,469,RIRuO,NA,106,11,30,12,11,13,3,0,Low
Andhra Pradesh,Warangal,"KUDA Office, Hanumakonda",579,RIRuO,NA,101,5,29,11,5,18,5,0,Low
Andhra Pradesh,Vishakhapatnam,"Panchayat Raj office, Mindi",234,RIRuO,NA,107,9,30,11,9,19,5,0,Low
Andhra Pradesh,Vishakhapatnam,"Industrial Estate, Marripalem",233,RIRuO,NA,107,9,38,13,9,23,6,0,Low
Andhra Pradesh,Vishakhapatnam,Police Barracks,371,RIRuO,NA,108,9,52,19,9,32,10,0,Low
Andhra Pradesh,Vishakhapatnam,"INS-Virabahu, Naval Area",387,RIRuO,NA,108,9,32,12,9,19,5,0,Low
Andhra Pradesh,Vishakhapatnam,Seethammadhara,388,RIRuO,NA,108,9,76,16,9,25,10,0,Low
Andhra Pradesh,Vishakhapatnam,Ganapuram Area,467,RIRuO,NA,108,9,74,15,9,27,9,0,Low
Andhra Pradesh,Vishakhapatnam,"Pedagantyada, Gajuwada",584,RIRuO,NA,108,9,31,11,9,15,4,0,Low
Andhra Pradesh,Vishakhapatnam,"CWMP, RAMKY, Parawada",585,RIRuO,NA,98,9,24,10,9,13,3,0,Low
Assam,Bongaigaon,"Oil India Ltd. PS-6, Chirang",542,RIRuO,NA,103,7,29,13,11,15,3,0,Low
Assam,Bongaigaon,Barpara Office Building,520,RIRuO,NA,100,5,28,15,12,18,3,0,Low
Assam,Daranga,"BATAD,  Baska ",566,RIRuO,NA,80,10,19,13,11,16,2,0,Low
Assam,Dibrugarh,Dibrugarh Office Building,538,RIRuO,NA,102,7,21,13,11,15,2,0,Low
Assam,Golaghat,Golaghat Office Building,539,ES,Numaligarh ,93,6,21,14,11,17,3,0,Low
Assam,Guwahati,"Head Office, Bamunimaidam",193,RIRuO,NA,260,8,24,15,12,17,2,0,Low
Assam,Guwahati,"Boragaon, IASST, Kamrup",603,RIRuO,NA,103,8,22,14,11,17,2,0,Low
Assam,Guwahati,"Guwahati University, Kamrup",602,RIRuO,NA,124,8,23,13,12,15,2,0,Low
Assam,Guwahati,"ITI Building, Gopinath Nagar",519,RIRuO,NA,263,6,23,15,12,19,3,0,Low
Assam,Guwahati,"Khanapara, Central Dairy, Kamrup",596,RIRuO,NA,246,7,20,13,11,16,2,0,Low
Assam,Guwahati,"Near Pragjyotish College, Santipur",541,RIRuO,NA,259,7,23,14,12,16,2,0,Low
Assam,Margherita,Coal India Office,586,RIRuO,NA,96,9,21,15,12,16,2,0,Low
Assam,Lakhimpur,"Bazar Patti, North Lakhimpur Town",587,RIRuO,NA,103,11,22,2,14,12,16,0,Low
Assam,Nagaon,"Water Resources Div., Christian Patty",595,RIRuO,NA,94,11,23,13,12,15,1,0,Low
Assam,Nalbari,PWD Rural Div Office Complex,597,RIRuO,NA,104,9,23,15,12,18,2,0,Low
Assam,Sibsagar,Sibasagar Office Building,537,RIRuO,NA,103,13,27,16,14,19,3,0,Low
Assam,Sibsagar,"Usha Lodge, near ONGCL Colony",604,RIRuO,NA,101,9,25,13,3,11,16,0,Low
Assam,Silchar,Janiganj Govt. Boys HS School campus,607,RIRuO,NA,94,9,21,15,13,18,2,0,Low
Assam,Silchar,"RLO, Ithkola Market, Ghaniwala Road",567,RIRuO,NA,91,8,20,14,11,18,3,0,Low
Assam,Tezpur,Tezpur Office Building,536,RIRuO,NA,102,2,22,9,13,12,15,0,Low
Assam,Tinsukia,"Digboi Carbon factory Campus, Borguri",594,RIRuO,NA,97,10,15,12,10,13,1,0,Low
Assam,Tinsukia,"Shreepuria, Borguri",605,RIRuO,NA,95,10,19,13,11,15,2,0,Low
Bihar,Patna,"Beltron Bhawan, Shastri Nagar",210,RIRuO,NA,108,5,111,25,10,43,17,2,Moderate
Bihar,Patna,Gandhi Maidan Test Centre,284,RIRuO,NA,83,12,142,47,22,80,27,10,High
Chandigarh,Chandigarh,"Modern Foods, Industrial Area",106,RIRuO,NA,93,7,52,22,13,34,9,0,Moderate
Chandigarh,Chandigarh,Sector-17 C,263,RIRuO,NA,106,7,47,20,13,30,7,0,Low
Chandigarh,Chandigarh,"Punjab Engineering College, Sector- 12",264,RIRuO,NA,104,6,45,19,10,30,8,0,Low
Chandigarh,Chandigarh,"Sector-39, IMTECH",463,RIRuO,NA,102,7,35,18,10,26,6,0,Low
Chandigarh,Chandigarh,Kaimbwala Village,464,RIRuO,NA,98,5,40,17,10,28,7,0,Low
Chattisgarh,Bhillai,"Visak Hostel, Sector-4",65,RIRuO,NA,88,17,46,22,20,23,3,0,Moderate
Chattisgarh,Bhillai,"R.O., 5/32 Banglow Office Building",67,RIRuO,NA,90,13,23,15,14,17,2,0,Low
Chattisgarh,Bhillai, M.P. Laghu Udyog Nigam,245,RIRuO,NA,92,20,33,31,29,32,2,0,Moderate
Chattisgarh,Bilaspur,"Regional Office, CECB Vyapar Vihar",669,RIRuO,NA,71,12,31,20,14,26,5,0,Low
Chattisgarh,Korba,"HIG 21,22.Near Ghantaghar, MP Extension",364,RIRuO,NA,87,18,21,19,18,20,1,0,Low
Chattisgarh,Korba,"Pragati Nagar NTPC Colony, Jamnipali",249,RIRuO,NA,92,17,20,19,18,20,1,0,Low
Chattisgarh,Korba,"I.T.I., Rampur",407,RIRuO,NA,85,18,22,20,19,21,1,0,Low
Chattisgarh,Raipur,"New HIG-9, Hirapur",368,RIRuO,NA,16,37,44,40,37,43,2,0,Null
Chattisgarh,Raipur,"M/S Wool Worth India, Sarora ",223,RIRuO,NA,62,34,48,42,39,46,3,0,High
Chattisgarh,Raipur,"Yatayat Thana, Jai Stambh Chowk",447,RIRuO,NA,19,31,41,37,34,39,2,0,Null
Dadra & Nagar Haveli,Silvassa,"Khadoli Industrial Area, Khadoli",558,RIRuO,NA,75,18,25,20,19,22,1,0,Low
Daman & Diu,Daman,"Kadaiya Industrial Area, Kadaiya",560,RIRuO,NA,76,18,23,20,22,22,1,0,Low
Delhi,Delhi,"N.Y. School, Sarojini Nagar, Delhi",144,RIRuO,NA,96,20,159,78,43,114,29,50,Critical
Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",146,RIRuO,NA,96,27,189,87,50,122,30,60,Critical
Delhi,Delhi,"Mayapuri Industrial Area, Delhi",345,RIRuO,NA,96,23,133,80,48,116,26,50,Critical
Delhi,Delhi,Pritampura,531,RIRuO,NA,77,34,71,44,38,51,6,0,High
Delhi,Delhi,Shahadra,58,RIRuO,NA,78,45,67,56,49,62,5,0,High
Delhi,Delhi,Shahzada Bagh,57,RIRuO,NA,77,37,75,53,45,63,8,0,High
Delhi,Delhi,Nizamuddin,55,RIRuO,NA,76,26,59,42,33,51,7,0,High
Delhi,Delhi,Janakpuri,59,RIRuO,NA,68,31,70,44,36,53,7,0,High
Delhi,Delhi,Siri Fort,60,RIRuO,NA,78,26,84,48,38,56,9,1,High
Goa,Panaji,"Old GSPCB premises, Patto",327,RIRuO,NA,102,5,45,14,6,22,7,0,Low
Goa,Marmagao,"Fire Brigade Station, Port Trust",435,RIRuO,NA,34,10,41,19,11,27,7,0,Null
Goa,Vasco,"Fuse Call Office, Mormugao",37,RIRuO,NA,34,9,34,20,14,27,6,0,Null
Goa,Curchorem,"Curchorem, Sanvordem, Quepem",628,RIRuO,NA,104,16,28,20,17,25,3,0,Low
Goa,Codli,"Codli Tisk, Ponda",630,RIRuO,NA,105,14,32,21,16,29,5,0,Moderate
Goa,Honda,"Honda Junction, Sattari",631,ES,Sahyadri,104,15,32,21,16,30,5,0,Moderate
Goa,Bicholim,Bicholim Taluk,632,RIRuO,NA,103,14,27,18,15,22,3,0,Low
Goa,Amona,"Amona, Bicholim",633,RIRuO,NA,103,8,17,12,9,16,3,0,Low
Goa,Assanora,"Assanora Junction, Bardez Taluka",634,RIRuO,NA,105,8,16,12,9,15,2,0,Low
Goa,Usgao,"Usgao Plae, Junction, Ponda",629,RIRuO,NA,103,12,25,18,14,23,3,0,Low
Goa,Margao,Margao Town,774,RIRuO,NA,103,11,24,17,13,21,3,0,Low
Goa,Tilamol ,"Quepem, Tilamol",778,RIRuO,NA,105,15,27,20,17,24,3,0,Low
Goa,Mapusa,Mapusa town,775,RIRuO,NA,101,6,14,9,7,11,2,0,Low
Goa,Sanguem,"Near Railway Station at Kalem, Sanguem",777,RIRuO,NA,92,16,27,19,16,23,2,0,Low
Goa,Ponda ,Ponda Town,776,RIRuO,NA,103,10,24,16,13,20,3,0,Low
Goa,Kundaim,Kundaim Industrial Estate ,780,RIRuO,NA,59,12,23,16,13,20,3,0,Low
Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",101,RIRuO,NA,34,24,42,33,27,37,4,0,Null
Gujarat,Ahmedabad,Cadilla Bridge Narol,102,RIRuO,NA,44,18,37,25,20,29,4,0,Null
Gujarat,Ahmedabad,L.D. Engg. College,103,RIRuO,NA,44,12,21,16,13,20,3,0,Null
Gujarat,Ahmedabad,"Shardaben Hospital, Saraspur",154,RIRuO,NA,44,18,32,23,19,27,4,0,Null
Gujarat,Ahmedabad,"R.C. Technical High School, Mirzapur",155,RIRuO,NA,44,16,31,22,17,27,4,0,Null
Gujarat,Ahmedabad,"Naroda, G.I.D.C.",347,RIRuO,NA,44,18,35,24,20,27,3,0,Null
Gujarat,Anklesvar,Rallis India Ltd. ,252,RIRuO,NA,44,25,44,29,26,32,3,0,Null
Gujarat,Anklesvar,"Durga Traders, Bhavanafarm Society",253,RIRuO,NA,44,23,36,25,24,26,2,0,Null
Gujarat,Jamnagar,Fisheries Office,319,RIRuO,NA,44,19,31,25,21,28,3,0,Null
Gujarat,Rajkot,Nr. Sardhara Industrial Corporation,257,RIRuO,NA,44,15,21,19,17,20,1,0,Null
Gujarat,Rajkot,GPCB Regional Offce,374,RIRuO,NA,44,13,19,16,14,18,2,0,Null
Gujarat,Surat,S.V.R. Engg. College,21,RIRuO,NA,62,15,44,23,18,26,4,0,Moderate
Gujarat,Surat,"B.R.C. High School, Udhna",22,RIRuO,NA,62,21,41,29,23,33,4,0,Moderate
Gujarat,Surat,Near Air India Office,23,RIRuO,NA,62,17,32,25,19,28,4,0,Moderate
Gujarat,Vadodara,"GPCB Office, Geri Vasahat",50,RIRuO,NA,44,13,39,19,14,25,5,0,Null
Gujarat,Vadodara,Dandia Bazaar,333,RIRuO,NA,34,26,51,35,30,40,5,0,Null
Gujarat,Vadodara,CETP Nandesari,334,RIRuO,NA,34,33,56,43,37,51,6,0,Null
Gujarat,Vapi,"GEB, IIIrd Phase, GIDC",367,RIRuO,NA,44,27,50,34,29,46,7,0,Null
Gujarat,Vapi,"Vapi Nagar Palika, Vapi",221,RIRuO,NA,44,22,37,26,24,27,3,0,Null
Haryana,Faridabad,"M/s Escorts  Research centre,Mathura Road",331,RIRuO,NA,83,24,77,41,28,63,13,0,High
Haryana,Faridabad,Haryana RO SPCB Sector-16A,330,RIRuO,NA,111,13,85,36,21,53,12,1,Moderate
Haryana,Hissar,Urban Estate - II,390,RIRuO,NA,72,5,9,7,5,9,1,0,Low
Haryana,Hissar,Guru Jambehswar University,414,RIRuO,NA,40,8,11,9,8,11,1,0,Null
Himachal Pradesh,Baddi,Industry Department Office Building,449,RIRuO,NA,117,7,41,21,7,12,31,0,Moderate
Himachal Pradesh,Baddi,AHC barotiwala,564,RIRuO,NA,106,7,45,21,8,13,30,0,Moderate
Himachal Pradesh,Baddi,Housing Board,563,RIRuO,NA,70,6,55,26,9,16,34,0,Moderate
Himachal Pradesh,Damtal,Regional Office,268,RIRuO,NA,143,5,252,12,7,13,20,1,Low
Himachal Pradesh,Damtal,Old Road,271,RIRuO,NA,134,5,41,13,8,17,5,0,Low
Himachal Pradesh,Kala Amb,Kala Amb Industrial Area,461,RIRuO,NA,103,14,18,16,15,17,1,0,Low
Himachal Pradesh,Kala Amb,Kala Amb Town/Trilokpur,530,RIRuO,NA,102,13,52,15,13,16,4,0,Low
Himachal Pradesh,Nalagarh,Municipal Council ,565,RIRuO,NA,82,6,46,23,12,34,8,0,Moderate
Himachal Pradesh,Parwanoo,"Regional Office, Sector- 4",132,RIRuO,NA,153,5,16,7,5,11,3,0,Low
Himachal Pradesh,Parwanoo,Asst. Commissioner Building Sector I,339,RIRuO,NA,147,5,16,8,5,12,3,0,Low
Himachal Pradesh,Paonta Sahib, Paonta Sahib,117,RIRuO,NA,140,13,29,15,2,14,16,0,Low
Himachal Pradesh,Paonta Sahib,Gondhpur Industrial Area,118,RIRuO,NA,127,12,18,16,1,14,17,0,Low
Himachal Pradesh,Shimla,Tekka Bench Ridge,34,ES,Hill station,125,3,21,10,6,13,3,0,Low
Himachal Pradesh,Shimla,"Bus Stand, Winterfield",35,ES,Hill station,121,4,35,14,9,19,5,0,Low
Himachal Pradesh,Una,"Regional Office, Una",667,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Himachal Pradesh,Una,"DIC Building, Mehatpur, Una",668,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Himachal Pradesh,Sunder Nagar,"HPSPCB, BBMB Colony, Mandi",665,RIRuO,NA,105,5,21,9,5,14,4,0,Low
Himachal Pradesh,Sunder Nagar,"Muncipal Council, NH-21, Mandi",666,RIRuO,NA,23,5,23,13,7,19,5,0,Null
Himachal Pradesh,Manali,"Nehru Park, Manali, District Kullu",670,ES,Hill station,104,5,36,13,7,20,6,0,Low
Himachal Pradesh,Manali,"HPSPCB, Hadimba Road, Manali, Kullu",671,ES,Hill station,77,5,36,10,5,16,6,0,Low
Jammu & Kashmir,Jammu,"Regional Office, Jammu",184,RIRuO,NA,77,2,22,10,2,16,5,0,Low
Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk",482,RIRuO,NA,59,2,25,12,5,19,5,0,Low
Jammu & Kashmir,Jammu,Bari Brahamana Industrial Area,507,RIRuO,NA,66,5,30,15,8,20,5,0,Low
Jharkhand,Dhanbad,R.O. Dhanbad,44,RIRuO,NA,102,26,46,39,35,43,4,0,Moderate
Jharkhand,Dhanbad,"EMTI, Bastacola",612,RIRuO,NA,70,28,49,41,34,45,0,0,High
Jharkhand,Dhanbad,"CGM Office, Kusunda",611,RIRuO,NA,84,21,47,39,34,44,4,0,Moderate
Jharkhand,Jamshedpur,Bistupur Vehical Testing Centre,351,RIRuO,NA,94,37,57,48,41,54,5,0,High
Jharkhand,Jamshedpur,Golmuri Vehicle Testing Centre,382,RIRuO,NA,94,35,57,49,41,54,5,0,High
Jharkhand,Jharia,M.A.D.A.,332,RIRuO,NA,97,20,49,40,0,44,4,0,Moderate
Jharkhand,Ranchi,"Albert Ekka Chowk, Main Road",402,RIRuO,NA,91,30,51,35,32,37,3,0,Moderate
Jharkhand,Saraikela Kharsawan,"RO Building, Adityapur",614,RIRuO,NA,96,36,63,51,43,58,6,0,High
Jharkhand,Sindri,BIT / PDIL,46,RIRuO,NA,90,28,46,40,35,44,4,0,Moderate
Jharkhand,West Singhbhum,Barajamda U.M. Office,615,RIRuO,NA,86,20,53,27,22,32,5,0,Moderate
Karnataka,Bangalore,"Graphite India, White Field Road",77,RIRuO,NA,79,23,74,31,29,32,5,0,Moderate
Karnataka,Bangalore,Yeshwanthpura police station,457,RIRuO,NA,96,23,41,31,29,32,2,0,Moderate
Karnataka,Bangalore,Peenya Industrial Area,405,RIRuO,NA,89,22,45,30,29,31,3,0,Moderate
Karnataka,Bangalore,"KHB Industrial Area, Yelahanka",404,RIRuO,NA,97,22,33,30,30,31,1,0,Moderate
Karnataka,Bangalore,"AMCO Batteries, Mysore Road",78,RIRuO,NA,106,27,78,31,29,31,5,0,Moderate
Karnataka,Bangalore,"Jnanabharathi, Bangalore University",598,RIRuO,NA,107,15,20,17,16,19,1,0,Low
Karnataka,Bangalore,Victoria hospital,406,RIRuO,NA,93,24,45,30,28,31,2,0,Moderate
