State,City,Location,Type,Numbers of  monitoring days (n),Suspended Particulate Matter(SPM)- Annual average (µg/m3),Standard Deviation
Andhra Pradesh,Guntur,Hindu College Guntur,Residential and other,48,216,23
Andhra Pradesh,Hydrabad,C.I.T.D. Balanagar,Industrial,109,293,61
Andhra Pradesh,Hydrabad,Nacharam,Industrial,93,134,56
Andhra Pradesh,Hydrabad,Uppal,Industrial,108,289,62
Andhra Pradesh,Hydrabad,ABIDS Circle,Residential and other,95,190,60
Andhra Pradesh,Hydrabad,Charminar,Residential and other,107,311,36
Andhra Pradesh,Hydrabad,Jubilee Hills,Residential and other,108,154,42
Andhra Pradesh,Hydrabad,Paradise,Residential and other,108,308,40
Andhra Pradesh,Hydrabad,Tarnaka,Residential and other,96,181,59
Andhra Pradesh,Hydrabad,Zoo Park,Sensitive,108,165,37
Andhra Pradesh,Kakinada,OB Ramanyapeta,Residential and other,16,122,6
Andhra Pradesh,Kurnool,Mourya Inn,Residential and other,99,191,32
Andhra Pradesh,Nalgonda,RO APPCB,Residential and other,42,217,36
Andhra Pradesh,Nellore,Venkatreddy Nagar,Residential and other,1,193,NA
Andhra Pradesh,Patencheru,Police Station,Residential and other,107,208,62
Andhra Pradesh,Ramagundam,RTC Bus Depot,Residential and other,84,285,129
Andhra Pradesh,Tirupati,Reg.Science Center,Sensitive,96,127,12
Andhra Pradesh,Vijaywada,Autonagar,Industrial,114,219,53
Andhra Pradesh,Vijaywada,Benz Circle,Residential and other,114,184,26
Andhra Pradesh,Visakhapatnam,"CWMP, RAMKY",Industrial,27,137,40
Andhra Pradesh,Visakhapatnam,Industrial Estate,Industrial,105,183,56
Andhra Pradesh,Visakhapatnam,Pedagantyada V,Industrial,27,154,39
Andhra Pradesh,Visakhapatnam,Ganapuram Area,Residential and other,107,289,90
Andhra Pradesh,Visakhapatnam,Panchayat Raj Office,Residential and other,102,176,52
Andhra Pradesh,Visakhapatnam,Police Barracks,Residential and other,106,242,82
Andhra Pradesh,Visakhapatnam,Seethammadhara,Residential and other,107,202,60
Andhra Pradesh,Visakhapatnam,INS-VIRBAHU,Sensitive,108,143,43
Andhra Pradesh,Warangal,KUDA Office,Residential and other,28,150,46
Assam,Bongaigaon,Barpara Office Bldg,Residential and other,110,140,118
Assam,Bongaigaon,Campus of Oil India,Residential and other,109,153,107
Assam,Daranga,BATAD,Residential and other,92,148,106
Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and other,103,75,34
Assam,Golaghat,Golaghat Off. Bldg.,Residential and other,104,109,86
Assam,Guwahati,Gopinath Nagar,Residential and other,234,196,156
Assam,Guwahati,Head Office,Residential and other,244,257,199
Assam,Guwahati,Santipur,Residential and other,241,200,173
Assam,Hailakandi,CISF Campus,Residential and other,37,150,94
Assam,Mergherita,Coal India Office,Residential and other,45,79,33
Assam,Nagaon,Water resource Div.,Residential and other,7,279,58
Assam,North Lakhimpur Town,Bazarpatti lakhimpur,Residential and other,40,136,54
Assam,Sibsagar,Sibasagar Off. Bldg,Residential and other,102,156,72
Assam,Silchar,Office Building RLO,Residential and other,93,102,51
Assam,Tezpur,Tezpur Office Bldg,Residential and other,99,198,192
Assam,Tinsukhia,Digboi carbon factor,Residential and other,18,124,42
Bihar,Patna,Beltron Bhawan,Residential and other,84,255,123
Bihar,Patna,Gandhi Maidan T C,Residential and other,46,477,247
Chandigarh,Chandigarh,Industrial Area,Industrial,147,185,65
Chandigarh,Chandigarh,Kaimbwala Village,Residential and other,154,154,52
Chandigarh,Chandigarh,Punjab Eng College,Residential and other,150,156,55
Chandigarh,Chandigarh,Sector-17 C,Residential and other,154,158,51
Chandigarh,Chandigarh,Sector-39,Residential and other,153,163,53
Chandigarh,Bhilai Nagar,M.P.L.U. Nigam,Industrial,96,271,20
Chandigarh,Bhilai Nagar,Regional Office,Residential and other,94,166,10
Chandigarh,Bhilai Nagar,Visak Hostel,Residential and other,92,187,24
Chandigarh,Korba," I.T.I, Rampur",Residential and other,101,259,29
Chandigarh,Korba,Near Ghantaghar,Residential and other,104,249,29
Chattisgarh,Korba,Pragati Nagar,Residential and other,102,227,28
Chattisgarh,Raipur,Wool Worth I.Pvt.Ltd,Industrial,41,493,75
Chattisgarh,Raipur,"New HIG - 9, Hirapur",Residential and other,51,452,88
Chattisgarh,Raipur,Yatayat Thana,Residential and other,45,395,64
Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial,78,307,47
Daman & Diu,Daman,Kadaiya Ind. Area,Industrial,76,223,37
Delhi,Delhi,Mayapuri Indl. Area,Industrial,96,519,188
Delhi,Delhi,Shahdara,Industrial,77,461,133
Delhi,Delhi,Shahzada Bagh,Industrial,77,542,151
Delhi,Delhi,Janakpuri,Residential and other,75,510,162
Delhi,Delhi,N.Y. School,Residential and other,96,397,151
Delhi,Delhi,Nizamuddin,Residential and other,74,528,178
Delhi,Delhi,Pritampura,Residential and other,74,423,103
Delhi,Delhi,Siri Fort,Residential and other,74,489,151
Delhi,Delhi,Town Hall,Residential and other,96,536,232
Goa,Mormugao,Mormugao Port Trust,Industrial,102,158,96
Goa,Panaji,Near Old GSPCB,Residential and other,100,133,48
Goa,Vasco,Electricity Deptt.,Industrial,78,177,97
Gujarat,Ahmedabad,Naroda,Industrial,104,295,59
Gujarat,Ahmedabad,Shardaban Hospital,Industrial,97,196,16
Gujarat,Ahmedabad,Behrampura,Residential and other,104,193,19
Gujarat,Ahmedabad,Cadilla Bridge Narol,Residential and other,102,200,20
Gujarat,Ahmedabad,L.D. Eng. College,Residential and other,98,185,20
Gujarat,Ahmedabad,R.C. High School,Residential and other,105,196,16
Gujarat,Anklesvar,Rallies India Ltd,Industrial,105,196,21
Gujarat,Anklesvar,Durga Traders,Residential and other,105,158,12
Gujarat,Jamnagar,Fisheries Office,Residential and other,105,193,20
Gujarat,Rajkot,Sardhara Indl.Corp.,Industrial,105,227,36
Gujarat,Rajkot,Regional Office,Residential and other,100,157,20
Gujarat,Surat,B.R.C. High School,Industrial,103,202,19
Gujarat,Surat,Near A.I. Office,Residential and other,103,183,26
Gujarat,Surat,S.V.R. Eng. College,Residential and other,106,158,13
Gujarat,Vadodara,CETP,Industrial,105,299,41
Gujarat,Vadodara,Dandia Bazar,Residential and other,110,186,42
Gujarat,Vadodara,GPCB Office,Residential and other,110,113,19
Gujarat,Vapi,GEB,Industrial,98,169,15
Gujarat,Vapi,Vapi Nagar Palika,Residential and other,104,147,9
Haryana,Faridabad,"HSPCB office, Ballabgard, Faridabad",Residential and other,NA,343,NA
Haryana,Hisar,Urban Estate-II,Residential and other,11,159,32
Haryana,Yamunanagar,Ballarpur Industries,Industrial,31,328,161
Himachal Pradesh,Baddi,AHC,Industrial,62,164,67
Himachal Pradesh,Baddi,Industry Department,Industrial,83,171,67
Himachal Pradesh,Baddi,Housing Board,Residential and other,30,148,69
Himachal Pradesh,Damtal,Old Road,Residential and other,91,171,41
Himachal Pradesh,Damtal,Regional Office,Residential and other,106,127,45
Himachal Pradesh,Nahan,Industrial Area,Industrial,154,350,134
Himachal Pradesh,Nahan,Trilok Pur,Residential and other,160,166,51
Himachal Pradesh,Nalagarh,M.C.,Residential and other,67,178,87
Himachal Pradesh,Paonta Sahib,Gondpur Indl. Area,Industrial,134,264,83
Himachal Pradesh,Paonta Sahib,Paonta Sahib,Residential and other,140,168,46
Himachal Pradesh,Parwanoo,AC Office Bldg.,Industrial,126,170,45
Himachal Pradesh,Parwanoo,Central Laboratory,Residential and other,128,127,42
Himachal Pradesh,Shimla,Bus Stand,Residential and other,136,128,54
Himachal Pradesh,Shimla,Tekka Bench Ridge,Sensitive,131,121,59
Jammu & Kashmir,Jammu,B.Brahmana,Industrial,38,225,51
Jammu & Kashmir,Jammu,M.A.Stadium,Residential and other,54,205,62
Jammu & Kashmir,Jammu,Regional Office,Residential and other,60,211,55
Jharkhand,Dhanbad,Regional Office,Residential and other,51,220,109
Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial,103,367,32
Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial,99,361,29
Jharkhand,Jharia,M.A.D.A.,Industrial,78,336,97
Jharkhand,Ranchi,Albert Ekka Chowk,Residential and other,85,365,126
Jharkhand,Sindri,BIT,Industrial,71,219,66
Karnataka,Bangalore,Graphite India,Industrial,97,442,275
Karnataka,Bangalore,KHB Indl Area,Industrial,95,188,103
Karnataka,Bangalore,Peenya Indl. Area,Industrial,63,173,67
Karnataka,Bangalore,AMCO Batteries,Residential and other,101,178,76
Karnataka,Bangalore,R.V.College,Residential and other,6,122,4
Karnataka,Bangalore,Yeshwanthpura,Residential and other,106,513,188
Karnataka,Bangalore,Victoria Hospital,Sensitive,98,177,68
Karnataka,Belgaum,Karnataka SPCB,Industrial,78,68,40
Karnataka,Gulbarga,Govt. Hospital,Sensitive,99,188,50
Karnataka,Hassan,N.R. Circle,Residential and other,107,118,29
Karnataka,Hubli-Dharwad,L. Industrial Area,Industrial,88,250,85
Karnataka,Hubli-Dharwad,Rani C. Circle,Residential and other,96,220,82
Karnataka,Mangalore,Stides Premises,Industrial,104,87,42
Karnataka,Mysore,K.R. Circle,Residential and other,103,108,35
Karnataka,Mysore,KSPCB Building,Industrial,107,80,28
Karnataka,Kochi,Eloor,Industrial,90,102,92
Karnataka,Kochi,FACT Udyogmandal,Industrial,92,114,100
Karnataka,Kochi,Irumpanam,Industrial,107,55,26
Karnataka,Kochi,CSIR Complex,Industrial,107,61,27
Karnataka,Kochi,Ernakulum South,Residential and other,108,75,33
Karnataka,Kochi,"FCI, OEN C. O. Bldg",Residential and other,108,58,28
Karnataka,Kochi,M.G. Road,Residential and other,108,60,36
Karnataka,Kottayam,Vadavathoor,Industrial,96,38,3
Kerala,Kottayam,Kottayam,Residential and other,96,56,8
Kerala,Kozhikode,Nallalam,Industrial,108,72,16
Kerala,Kozhikode,Kozhikode City,Residential and other,105,72,17
Kerala,Palakkad,Carboradum/SEPR,Industrial,118,126,45
Kerala,Trivandrum,Hi Tech Chackai,Industrial,108,89,14
Kerala,Trivandrum,Sasthamangalam,Residential and other,110,62,7
Kerala,Trivandrum,SMV School,Residential and other,106,73,24
Kerala,Aurangabad (MS),C.A.D.A. Office,Residential and other,97,207,63
Kerala,Aurangabad (MS),S.B.E.S. College,Residential and other,98,346,114
Kerala,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive,101,243,69
Kerala,Chandrapur,M.I.D.C.,Industrial,77,309,166
Kerala,Chandrapur,Nagar Parishad,Residential and other,69,174,90
Kerala,Chandrapur,"SRO, Bapat Nagar",Residential and other,76,296,193
Kerala,Kolhapur,Mahadwar Road,Residential and other,101,212,58
Kerala,Kolhapur,S.T. Stand,Residential and other,103,298,99
Kerala,Kolhapur,Shivaji University,Residential and other,105,120,15
Kerala,Mahad,EHS mahad,Industrial,45,234,52
Kerala,Mahad,"MNP, Phulle Hall",Residential and other,38,272,79
Kerala,Mahad,"WTP, Bhirwadi",Residential and other,44,216,61
Maharashtra,Mumbai,Parel,Industrial,93,287,129
Maharashtra,Mumbai,Kalbadevi,Residential and other,87,267,111
Maharashtra,Mumbai,Worli,Residential and other,94,230,70
Maharashtra,Nagpur,MIDC Industrial Area/Hingana,Industrial,94,214,128
Maharashtra,Nagpur,MIDC Office,Industrial,105,165,61
Maharashtra,Nagpur,Govt. Poly. College,Residential and other,97,125,48
Maharashtra,Nagpur,Institution of Eng.,Residential and other,105,142,53
Maharashtra,Nagpur,Maskasath,Residential and other,98,229,89
Maharashtra,Nagpur,NEERI Lab,Residential and other,92,103,72
Maharashtra,Nashik,VIP Industrial Area,Industrial,102,146,58
Maharashtra,Nashik,NMC Building,Residential and other,103,186,73
Maharashtra,Nashik,RTO Colony Tank,Residential and other,103,159,77
Maharashtra,Navi Mumbai,MIDC Taloja,Industrial,105,542,216
Maharashtra,Navi Mumbai,MPCB Central Lab,Industrial,104,245,157
Maharashtra,Navi Mumbai,Airoli,Residential and other,102,218,200
Maharashtra,Navi Mumbai,Kharghar,Residential and other,100,182,151
Maharashtra,Navi Mumbai,Nerul,Residential and other,107,208,183
Maharashtra,Navi Mumbai,Panvel Water Works,Residential and other,103,236,182
Maharashtra,Pune,Bhosari,Industrial,106,212,121
Maharashtra,Pune,Nalstop,Residential and other,103,222,105
Maharashtra,Pune,Swargate,Residential and other,110,240,127
Maharashtra,Solapur,WIT Campus,Industrial,104,238,27
Maharashtra,Solapur,Chitale Clinic,Residential and other,105,228,38
Maharashtra,Thane,Balkum/Kolshet,Industrial,89,102,13
Maharashtra,Thane,Kopri,Residential and other,99,87,14
Maharashtra,Thane,Naupada,Residential and other,103,94,11
Meghalaya,Byrnihat,EPIP,Industrial,44,179,40
Meghalaya,Dawki,Terrance Building,Residential and other,14,69,17
Meghalaya,Shillong,Boards Office,Residential and other,82,66,13
Meghalaya,Shillong,Tuberculosis Hosp.,Residential and other,88,134,21
Mizoram,Aizawl,Bawngkawn,Residential and other,104,98,21
Mizoram,Aizawl,Khatla,Residential and other,103,89,20
Mizoram,Aizawl,Laipuitlang,Residential and other,104,69,15
Madhya Pradesh,Bhopal,Govindpura,Industrial,54,279,134
Madhya Pradesh,Bhopal,Hamidia Road,Residential and other,70,403,182
Madhya Pradesh,Bhopal,T.T.Nagar,Residential and other,73,220,116
Madhya Pradesh,Dewas,EID Perry (I) Ltd.,Industrial,95,300,121
Madhya Pradesh,Dewas,Vikas Nagar,Residential and other,101,231,112
Madhya Pradesh,Gwalior,Dindayal Nagar,Residential and other,53,370,92
Madhya Pradesh,Gwalior,Maharaj Bada,Residential and other,15,197,53
Madhya Pradesh,Indore,M.P. Laghu Udyog,Industrial,44,370,102
Madhya Pradesh,Indore,Kothari Market,Residential and other,43,314,86
Madhya Pradesh,Indore,Telephone Nagar,Residential and other,94,210,102
Madhya Pradesh,Jabalpur,Vijay Nagar,Residential and other,94,300,30
Madhya Pradesh,Nagda,Chem. D. Labour Club,Industrial,62,176,21
Madhya Pradesh,Nagda,BCI Labour Club,Residential and other,89,155,25
Madhya Pradesh,Nagda,Grasim Kalyan Kendra,Residential and other,96,171,22
Madhya Pradesh,Sagar,Pt. Deendayal Nagar,Residential and other,87,253,92
Madhya Pradesh,Satna,Sub-Divisional Off.,Industrial,41,376,74
Madhya Pradesh,Satna,Regional Office,Residential and other,26,184,54
Madhya Pradesh,Singrauli,Jayant Township,Residential and other,7,395,91
Madhya Pradesh,Singrauli,"N.T.P.C., Vidyanagar",Residential and other,7,270,47
Madhya Pradesh,Singrauli,Waidhan,Residential and other,7,207,15
Madhya Pradesh,Ujjain, District Office,Industrial,76,239,87
Madhya Pradesh,Ujjain,Regional Office,Residential and other,90,97,43
Madhya Pradesh,Ujjain,Mahakal Temple,Sensitive,82,124,55
Nagaland,Dimapur,Bank Colony,Residential and other,45,142,44
Nagaland,Dimapur,Dhobinala,Residential and other,45,146,45
Orissa,Angul, Industrial Estate,Industrial,104,364,108
Orissa,Angul,NALCO Township,Residential and other,84,164,37
Orissa,Balasore,Sahadevkhunta,Residential and other,51,183,13
Orissa,Berhampur,Regional Office,Residential and other,105,137,64
Orissa,Bhubaneshwar,Capital Police Stn.,Residential and other,105,190,91
Orissa,Bhubaneshwar,IRC,Residential and other,104,153,59
Orissa,Bhubaneshwar,OSPCB Bldg,Residential and other,112,166,60
Orissa,Cuttack,"Badambi, Cuttack",Residential and other,104,293,105
Orissa,Cuttack,R.O. Cuttack,Residential and other,105,159,53
Orissa,Rayagada,LPS H. School,Industrial,105,95,32
Orissa,Rayagada,Regional Office,Residential and other,111,100,35
Orissa,Rourkela,IDL Police Out-post,Residential and other,105,206,31
Orissa,Rourkela,Regional Office,Residential and other,106,207,21
Orissa,Sambalpur,"PHD Ofice, Sambalpur",Residential and other,125,137,17
Orissa,Talcher,Coal Field Area,Industrial,95,274,97
Orissa,Talcher,T.T.P.S Colony,Industrial,104,212,57
Pondicherry,Pondicherry,PIPDIC,Industrial,64,70,17
Pondicherry,Pondicherry,Chamber of Commerce,Residential and other,100,57,14
Pondicherry,Pondicherry,DSTC Office,Residential and other,61,68,15
Punjab,Amritsar,Nagina Soap Factory,Industrial,19,471,49
Punjab,Amritsar,A-1 Platters,Residential and other,20,479,49
Punjab,Bathinda,Bathinda Milk Plant,Industrial,113,203,18
Punjab,Dera Bassi,Bhanakarpur Road,Industrial,132,206,14
Punjab,Dera Bassi,Winsome Yarns Ltd,Industrial,123,206,14
Punjab,Naya Nangal,NFL Guest House,Residential and other,128,209,27
Rajasthan,Alwar,Gaurav Solvex Ltd.,Industrial,100,325,156
Rajasthan,Alwar,RIICO Pump House,Industrial,102,213,86
Rajasthan,Alwar,Regional Office,Residential and other,105,324,143
Rajasthan,Jaipur,MIA,Industrial,105,218,115
Rajasthan,Jaipur,VKIA,Industrial,107,488,180
Rajasthan,Jaipur,Ajmeri Gate,Residential and other,105,295,124
Rajasthan,Jaipur,Chandpole,Residential and other,103,474,135
Rajasthan,Jaipur,RSPCB Office,Residential and other,106,203,98
Rajasthan,Jaipur,Vidyadhar Nagar,Residential and other,103,384,172
Rajasthan,Jodhpur,Basni Indl. Area,Industrial,88,404,93
Rajasthan,Jodhpur,DIC,Industrial,99,337,105
Rajasthan,Jodhpur,Housing Board,Residential and other,83,322,108
Rajasthan,Jodhpur,M M Police Thane,Residential and other,103,408,76
Rajasthan,Jodhpur,Shashtri Nagar,Residential and other,84,363,96
Rajasthan,Jodhpur,Sojati Gate,Residential and other,83,415,92
Rajasthan,Kota,Regional Office,Industrial,104,240,112
Rajasthan,Kota,Municipal C. Bldg,Residential and other,103,176,80
Rajasthan,Kota,Samcore Glass,Residential and other,105,216,95
Rajasthan,Udaipur,"Regional Office, MIA",Industrial,101,240,128
Rajasthan,Udaipur,Ambamata,Residential and other,97,204,130
Rajasthan,Udaipur,Town Hall,Residential and other,102,263,97
Tamilnadu,Chennai,Govt. High School,Industrial,94,180,75
Tamilnadu,Chennai,Kathivakkam,Industrial,94,184,57
Tamilnadu,Chennai,M C Thiruvottiyur,Industrial,94,129,46
Tamilnadu,Chennai,Thiruvottiyur,Industrial,94,226,104
Tamilnadu,Chennai,Madras Med. College,Residential and other,90,111,35
Tamilnadu,Chennai,NEERI CSIR Campus,Residential and other,96,89,39
Tamilnadu,Coimbatore,SIDCO Office,Industrial,88,239,113
Tamilnadu,Coimbatore,Dist. Coll. Office,Residential and other,94,133,74
Tamilnadu,Coimbatore,Ponniyarajapuram,Residential and other,91,97,51
Tamilnadu,Madurai,Fenners (I) Ltd.,Industrial,97,83,19
Tamilnadu,Madurai,Highway Bldg.,Residential and other,97,85,18
Tamilnadu,Madurai,Kunnathur Chatram,Residential and other,94,91,21
Tamilnadu,Salem,Sowdeswari College,Residential and other,132,125,39
Tamilnadu,Thoothukudi,Raja Agencies,Industrial,91,258,126
Tamilnadu,Thoothukudi,AVM Jewellery Bldg.,Residential and other,95,117,63
Tamilnadu,Thoothukudi,Fisheries College,Residential and other,95,167,95
Uttar Pradesh,Agra,Nunhai,Sensitive,95,396,78
Uttar Pradesh,Agra,Regional Office,Sensitive,99,349,85
Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive,104,632,250
Uttar Pradesh,Agra,Itmad-ud-daulah,Sensitive,104,408,188
Uttar Pradesh,Agra,Rambagh,Sensitive,103,380,175
Uttar Pradesh,Agra,Taj Mahal,Sensitive,266,325,170
Uttar Pradesh,Allahabad,Bharat Yantra Nigam,Residential and other,102,299,97
Uttar Pradesh,Allahabad,Square Crossing,Residential and other,102,430,138
Uttar Pradesh,Anpara,Renusagar Colony,Industrial,90,268,49
Uttar Pradesh,Anpara, Anpara Colony,Industrial,87,275,39
Uttar Pradesh,Firozabad,CDGI,Industrial,101,408,145
Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and other,95,392,138
Uttar Pradesh,Firozabad,Tilak Nagar,Residential and other,93,358,129
Uttar Pradesh,Ghaziabad,Atlas Cycles Ltd,Industrial,78,508,72
Uttar Pradesh,Ghaziabad,Bulandshahar R.I.A.,Industrial,74,460,71
Uttar Pradesh,Jhansi,Jail Chauraha,Residential and other,115,288,27
Uttar Pradesh,Jhansi,Veeranga Nagar,Residential and other,104,239,29
Uttar Pradesh,Kanpur,Fazal Ganj,Industrial,83,519,36
Uttar Pradesh,Kanpur,Jajmau,Industrial,89,469,67
Uttar Pradesh,Kanpur,Dabauli,Residential and other,84,481,57
Uttar Pradesh,Kanpur,Deputy Ka Parao,Residential and other,89,490,46
Uttar Pradesh,Kanpur, Kidwai nagar,Residential and other,92,474,56
Uttar Pradesh,Khurja,CGCRI,Industrial,82,508,18
Uttar Pradesh,Khurja,Ahirpara,Residential and other,80,233,43
Uttar Pradesh,Lucknow,Talkatora,Industrial,93,437,61
Uttar Pradesh,Lucknow, Aminabad,Residential and other,94,417,59
Uttar Pradesh,Lucknow,Chandganj  Nagar,Residential and other,96,405,55
Uttar Pradesh,Lucknow,Kapoor Hotel,Residential and other,91,401,55
Uttar Pradesh,Lucknow,Mahanagar,Residential and other,78,405,52
Uttar Pradesh,Meerut,Begum Bridge,Residential and other,41,644,115
Uttar Pradesh,Meerut,Thana Railway Road,Residential and other,29,487,46
Uttar Pradesh,Noida,GEE-PEE,Industrial,98,451,69
Uttar Pradesh,Noida,"R.O, UPPB",Residential and other,92,443,65
Uttar Pradesh,Varanasi,Regional Office,Residential and other,89,381,24
Uttar Pradesh,Varanasi,Sigra,Residential and other,94,394,28
Uttarakhand,Dehradoon ,Raipur Road ,Industrial,48,253,58
Uttarakhand,Dehradoon ,Clock Tower,Residential and other,57,322,73
West Bengal,Asansol,Asansol M.C.,Industrial,102,350,198
West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",Industrial,43,320,194
West Bengal,Asansol,"Burnpur Town Department, Burnpur",Industrial,43,317,206
West Bengal,Durgapur,"Dew India Ltd., Dr. B. C. Roy Avenue, Durgapur",Industrial,102,492,242
West Bengal,Durgapur,"Kwality Hotel, Bhiringi More, benachiti",Industrial,102,366,183
West Bengal,Durgapur,"PCBL Club, Muchipara, Bidhannagar",Residential and other,102,239,123
West Bengal,Durgapur,"DMC Water Works, Angadpur",Residential and other,43,278,133
West Bengal,Haldia,Super Market,Industrial,9,248,31
West Bengal,Haldia,WBIIDC,Industrial,9,251,34
West Bengal,Howrah,Bandhaghat,Industrial,104,247,142
West Bengal,Howrah,Howrah MC,Industrial,104,262,152
West Bengal,Howrah,Bator,Residential and other,104,212,126
West Bengal,Howrah,Naskarpara,Residential and other,104,232,138
West Bengal,Kolkata,"Traffic Guard Building, Behala Chowrasta",Industrial,105,233,130
West Bengal,Kolkata,Cossipore Police Stn,Industrial,97,392,160
West Bengal,Kolkata," National Sample Survey Building, Dunlop Bridge",Industrial,104,220,142
West Bengal,Kolkata,"Upanagari Sporting Club, Baishnabghata",Residential and other,105,170,104
West Bengal,Kolkata,Kasba,Residential and other,95,319,154
West Bengal,Kolkata,Lal Bazar,Residential and other,96,332,148
West Bengal,Kolkata,"A.J.C Bose Road, Minto Park",Residential and other,104,168,96
West Bengal,Kolkata,"KMC Office Building, Moulali",Residential and other,105,223,137
West Bengal,Kolkata,"CK Market, Salt Lake",Residential and other,105,186,112
West Bengal,Barrackpore,Barrackpore Police Station,Residential and other,44,223,78
West Bengal,Barrackpore,Dum Dum Telephone Exchange,Residential and other,44,272,109
West Bengal,Barrackpore,Khardah Municipality,Residential and other,44,266,109
West Bengal,Raniganj,Jamuria Municipality,Residential and other,17,476,173
West Bengal,Raniganj,"SKS Public School, Mangalpur",Residential and other,43,342,232
West Bengal,Raniganj,"Raniganj Municipality, Raniganj",Residential and other,43,522,282
West Bengal,Sankrail,"P. Mukherjee's House, (Near SBI)",Residential and other,31,202,76
West Bengal,Sankrail,Bagnan Police Station,Residential and other,31,282,76
West Bengal,Sankrail,Dhulagarh Gram Panchayet Office,Residential and other,31,283,76
West Bengal,Sankrail,"Bharat Co-operative Housing Society, Sankrail",Residential and other,31,249,61
West Bengal,South suburban,"P. Roy Industrial Training Institute, Amtala",Residential and other,43,163,163
West Bengal,South suburban,Baruipur Police Station,Residential and other,43,172,95
West Bengal,South suburban,"Chanditala Water Supply Pump House, Tollygunge",Residential and other,42,200,121
